season,match_date,source_match_id,match_slug,event_slug,commentary_url,delivery_source_mode,inning,batting_team,bowling_team,ball,event,commentary,timestamp,timestamp_source,primary_team,primary_before_pct,primary_after_pct,primary_delta_pct,secondary_team,secondary_before_pct,secondary_after_pct,secondary_delta_pct,pricing_source_before,pricing_source_after
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.1,0,,2026-03-28T14:04:49.000Z,exact,Sunrisers Hyderabad,47,46,-1,Royal Challengers Bengaluru,53,54,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.2,1,,2026-03-28T14:05:18.000Z,exact,Sunrisers Hyderabad,46,47,1,Royal Challengers Bengaluru,54,53,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.3,0,,2026-03-28T14:07:00.000Z,exact,Sunrisers Hyderabad,48,47,-1,Royal Challengers Bengaluru,52,53,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.4,6,,2026-03-28T14:07:26.000Z,exact,Sunrisers Hyderabad,50,49,-1,Royal Challengers Bengaluru,50,51,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.5,0,,2026-03-28T14:08:01.000Z,exact,Sunrisers Hyderabad,48,48,0,Royal Challengers Bengaluru,52,52,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.6,0,,2026-03-28T14:08:33.000Z,exact,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.1,1,,2026-03-28T14:09:27.271Z,estimated,Sunrisers Hyderabad,51,50,-1,Royal Challengers Bengaluru,49,50,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.2,1,,2026-03-28T14:10:21.542Z,estimated,Sunrisers Hyderabad,49.8,50,0.2,Royal Challengers Bengaluru,50.2,50,-0.2,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.3,1,,2026-03-28T14:11:15.814Z,estimated,Sunrisers Hyderabad,49,50,1,Royal Challengers Bengaluru,51,50,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.4,wd,,2026-03-28T14:12:10.085Z,estimated,Sunrisers Hyderabad,48.7,48,-0.7,Royal Challengers Bengaluru,51.3,52,0.7,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.5,0,,2026-03-28T14:13:04.356Z,estimated,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.6,wd,,2026-03-28T14:13:58.627Z,estimated,Sunrisers Hyderabad,47,49,2,Royal Challengers Bengaluru,53,51,-2,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.7,lb,,2026-03-28T14:14:52.898Z,estimated,Sunrisers Hyderabad,51,52,1,Royal Challengers Bengaluru,49,48,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1.8,4,,2026-03-28T14:15:47.169Z,estimated,Sunrisers Hyderabad,43,42,-1,Royal Challengers Bengaluru,57,58,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.1,wd,,2026-03-28T14:16:41.441Z,estimated,Sunrisers Hyderabad,41,42,1,Royal Challengers Bengaluru,59,58,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.2,0+W,,2026-03-28T14:17:35.712Z,estimated,Sunrisers Hyderabad,42,42,0,Royal Challengers Bengaluru,58,58,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.3,1,,2026-03-28T14:18:29.983Z,estimated,Sunrisers Hyderabad,40,38.3,-1.7,Royal Challengers Bengaluru,60,61.7,1.7,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.4,0,,2026-03-28T14:19:24.254Z,estimated,Sunrisers Hyderabad,40.5,41,0.5,Royal Challengers Bengaluru,59.5,59,-0.5,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.5,0,,2026-03-28T14:20:18.525Z,estimated,Sunrisers Hyderabad,30.7,30,-0.7,Royal Challengers Bengaluru,69.3,70,0.7,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.6,4,,2026-03-28T14:21:12.797Z,estimated,Sunrisers Hyderabad,30,31,1,Royal Challengers Bengaluru,70,69,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2.7,0+W,,2026-03-28T14:22:07.068Z,estimated,Sunrisers Hyderabad,30,31.1,1.1,Royal Challengers Bengaluru,70,68.9,-1.1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.1,4,,2026-03-28T14:23:01.339Z,estimated,Sunrisers Hyderabad,31,32,1,Royal Challengers Bengaluru,69,68,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.2,1,,2026-03-28T14:23:55.610Z,estimated,Sunrisers Hyderabad,30,31,1,Royal Challengers Bengaluru,70,69,-1,trade,trade
