inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,0.2,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,0.3,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,0.4,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,0.5,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,0.6,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.1,nb,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.2,wd,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.3,2,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.4,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.5,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.6,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.7,6,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,1.8,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.1,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.2,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.3,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.4,2,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.5,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,2.6,6,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.1,0+W,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.2,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.3,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.4,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.5,2,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,3.6,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.1,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.2,6,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.3,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.4,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.5,wd,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.6,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,4.7,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,5.1,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
1,5.2,4,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,50,50,0,Rajasthan Royals,50,50,0
