inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,0.2,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,0.3,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,0.4,0+W,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,0.5,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,0.6,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.1,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.2,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.3,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.4,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.5,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,1.6,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.1,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.2,0+W,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.3,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.4,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.5,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,2.6,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.1,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.2,2,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.3,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.4,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.5,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,3.6,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,4.1,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,4.2,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,4.3,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,50,0,Chennai Super Kings,50,50,0
1,4.4,0+W,Mumbai Indians,Chennai Super Kings,Mumbai Indians,50,44,-6,Chennai Super Kings,50,56,6
1,4.5,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,44,44,0,Chennai Super Kings,56,56,0
1,4.6,4,Mumbai Indians,Chennai Super Kings,Mumbai Indians,43.3,50,6.8,Chennai Super Kings,56.8,50,-6.7
1,5.1,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,43.3,50,6.8,Chennai Super Kings,56.8,50,-6.7
1,5.2,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,43.3,50,6.8,Chennai Super Kings,56.8,50,-6.7
1,5.3,6,Mumbai Indians,Chennai Super Kings,Mumbai Indians,43.3,50,6.8,Chennai Super Kings,56.8,50,-6.7
1,5.4,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,43.3,50,6.8,Chennai Super Kings,56.8,50,-6.7
