inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,0.2,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,0.3,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,38,-12,Delhi Capitals,50,62,12
1,0.4,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,38,37,-1,Delhi Capitals,62,63,1
1,0.5,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,37,40,3,Delhi Capitals,63,60,-3
1,0.6,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,40,44,4,Delhi Capitals,60,56,-4
1,1.1,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,44,49,5,Delhi Capitals,56,51,-5
1,1.2,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,1.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,1.4,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,1.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,1.6,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,2.1,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,49,50,1,Delhi Capitals,51,50,-1
1,2.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,57,7,Delhi Capitals,50,43,-7
1,2.3,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,50,-7,Delhi Capitals,43,50,7
1,2.4,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,50,-7,Delhi Capitals,43,50,7
1,2.5,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,50,-7,Delhi Capitals,43,50,7
1,2.6,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,50,-7,Delhi Capitals,43,50,7
1,3.1,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,50,-7,Delhi Capitals,43,50,7
1,3.2,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,57,58,1,Delhi Capitals,43,42,-1
1,3.3,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,58,62,4,Delhi Capitals,42,38,-4
1,3.4,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,62,65,3,Delhi Capitals,38,35,-3
1,3.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,3.6,2,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,4.1,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,4.2,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,4.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,4.4,0+W,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,63.9,50,-13.9,Delhi Capitals,36.1,50,13.9
1,4.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,4.6,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,5.1,wd,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,5.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,5.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,5.4,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,61,11,Delhi Capitals,50,39,-11
1,5.5,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,61,50,-11,Delhi Capitals,39,50,11
1,5.6,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,61,50,-11,Delhi Capitals,39,50,11
1,5.7,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,61,50,-11,Delhi Capitals,39,50,11
1,6.1,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,61,72,11,Delhi Capitals,39,28,-11
1,6.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,67,50,-17,Delhi Capitals,33,50,17
1,6.3,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,67,65.2,-1.8,Delhi Capitals,33,34.8,1.8
1,6.4,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,6.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,6.6,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,7.1,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,7.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,7.3,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,65.2,50,-15.2,Delhi Capitals,34.8,50,15.2
1,7.4,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,70,20,Delhi Capitals,50,30,-20
1,7.5,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,70,50,-20,Delhi Capitals,30,50,20
1,7.6,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,70,50,-20,Delhi Capitals,30,50,20
1,8.1,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,70,50,-20,Delhi Capitals,30,50,20
1,8.2,wd,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,70,50,-20,Delhi Capitals,30,50,20
1,8.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,70,71,1,Delhi Capitals,30,29,-1
1,8.4,wd,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,71,73,2,Delhi Capitals,29,27,-2
1,8.5,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,73,72,-1,Delhi Capitals,27,28,1
1,8.6,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,72,50,-22,Delhi Capitals,28,50,22
1,8.7,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,72,75,3,Delhi Capitals,28,25,-3
1,8.8,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.1,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.2,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.3,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.4,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.5,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,75,50,-25,Delhi Capitals,25,50,25
1,9.6,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,10.1,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,50,0,Delhi Capitals,50,50,0
1,10.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50,80,30,Delhi Capitals,50,20,-30
1,10.3,lb,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,81,50,-31,Delhi Capitals,19,50,31
1,10.4,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,81,80,-1,Delhi Capitals,19,20,1
1,10.5,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,80,77,-3,Delhi Capitals,20,23,3
1,10.6,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,80,77,-3,Delhi Capitals,20,23,3
1,11.1,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,80,77,-3,Delhi Capitals,20,23,3
1,11.2,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,80,77,-3,Delhi Capitals,20,23,3
1,11.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,80,77,-3,Delhi Capitals,20,23,3
1,11.4,0+W,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,77,74,-3,Delhi Capitals,23,26,3
1,11.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,11.6,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,74,0,Delhi Capitals,26,26,0
1,12.1,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,12.2,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,12.3,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,12.4,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,12.5,6,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,12.6,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,74,77,3,Delhi Capitals,26,23,-3
1,13.1,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,77,77,0,Delhi Capitals,23,23,0
1,13.2,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,77,77,0,Delhi Capitals,23,23,0
1,13.3,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,77,77,0,Delhi Capitals,23,23,0
1,13.4,0+W,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,77,76,-1,Delhi Capitals,23,24,1
1,13.5,0,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
1,13.6,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
1,14.1,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
1,14.2,4,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
1,14.3,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
1,14.4,1,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,76,77,1,Delhi Capitals,24,23,-1
