inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,0.2,4,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,0.3,4lb,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,0.4,0,Punjab Kings,Gujarat Titans,Punjab Kings,44,47,3,Gujarat Titans,56,53,-3
1,0.5,0,Punjab Kings,Gujarat Titans,Punjab Kings,47,46,-1,Gujarat Titans,53,54,1
1,0.6,0,Punjab Kings,Gujarat Titans,Punjab Kings,46,46,0,Gujarat Titans,54,54,0
1,1.1,0,Punjab Kings,Gujarat Titans,Punjab Kings,46,45,-1,Gujarat Titans,54,55,1
1,1.2,1,Punjab Kings,Gujarat Titans,Punjab Kings,45,45,0,Gujarat Titans,55,55,0
1,1.3,2,Punjab Kings,Gujarat Titans,Punjab Kings,52.7,44,-8.7,Gujarat Titans,47.3,56,8.7
1,1.4,1,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,1.5,0,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,1.6,4,Punjab Kings,Gujarat Titans,Punjab Kings,44,41.5,-2.5,Gujarat Titans,56,58.5,2.5
1,2.1,lb,Punjab Kings,Gujarat Titans,Punjab Kings,44,44,0,Gujarat Titans,56,56,0
1,2.2,0,Punjab Kings,Gujarat Titans,Punjab Kings,46,41.5,-4.5,Gujarat Titans,54,58.5,4.5
1,2.3,0,Punjab Kings,Gujarat Titans,Punjab Kings,46,44,-2,Gujarat Titans,54,56,2
1,2.4,lb,Punjab Kings,Gujarat Titans,Punjab Kings,44,46.5,2.5,Gujarat Titans,56,53.5,-2.5
1,2.5,6,Punjab Kings,Gujarat Titans,Punjab Kings,46.5,41.5,-5,Gujarat Titans,53.5,58.5,5
1,2.6,4,Punjab Kings,Gujarat Titans,Punjab Kings,46.5,47,0.5,Gujarat Titans,53.5,53,-0.5
