inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,49.5,-1.5,Kolkata Knight Riders,49,50.5,1.5
1,0.2,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,50,-1,Kolkata Knight Riders,49,50,1
1,0.3,1,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,50,0,Kolkata Knight Riders,50,50,0
1,0.4,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,49.5,-0.5,Kolkata Knight Riders,50,50.5,0.5
1,0.5,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,49.5,-0.5,Kolkata Knight Riders,50,50.5,0.5
1,0.6,4,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,51,1,Kolkata Knight Riders,50,49,-1
1,1.1,1,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,49.5,-1.5,Kolkata Knight Riders,49,50.5,1.5
1,1.2,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,49.5,-1.5,Kolkata Knight Riders,49,50.5,1.5
1,1.3,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,49.5,-1.5,Kolkata Knight Riders,49,50.5,1.5
1,1.4,2,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,49.5,-1.5,Kolkata Knight Riders,49,50.5,1.5
1,1.5,1,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,51,50,-1,Kolkata Knight Riders,49,50,1
1,1.6,1,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,49.5,-0.5,Kolkata Knight Riders,50,50.5,0.5
1,2.1,4,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,50,49.5,-0.5,Kolkata Knight Riders,50,50.5,0.5
