inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,0.2,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,64,-1,Lucknow Super Giants,35,36,1
1,0.3,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,64,82.5,18.5,Lucknow Super Giants,36,17.5,-18.5
1,0.4,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,64,65,1,Lucknow Super Giants,36,35,-1
1,0.5,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,0.6,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,1.1,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,1.2,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,1.3,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,1.4,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,65,82.5,17.5,Lucknow Super Giants,35,17.5,-17.5
1,1.5,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,82.5,62,-20.5,Lucknow Super Giants,17.5,38,20.5
1,1.6,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,62,58,-4,Lucknow Super Giants,38,42,4
1,2.1,0+W,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,58,82.5,24.5,Lucknow Super Giants,42,17.5,-24.5
1,2.2,0+W,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,58,54,-4,Lucknow Super Giants,42,46,4
1,2.3,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,53,52,-1,Lucknow Super Giants,47,48,1
1,2.4,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,52,82.5,30.5,Lucknow Super Giants,48,17.5,-30.5
1,2.5,wd,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,52,82.5,30.5,Lucknow Super Giants,48,17.5,-30.5
1,2.6,wd,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,52,82.5,30.5,Lucknow Super Giants,48,17.5,-30.5
1,2.7,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,52,44,-8,Lucknow Super Giants,48,56,8
1,2.8,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,43,43,0,Lucknow Super Giants,57,57,0
1,3.1,6,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,43,43,0,Lucknow Super Giants,57,57,0
1,3.2,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,44,0,Lucknow Super Giants,56,56,0
1,3.3,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,82.5,38.5,Lucknow Super Giants,56,17.5,-38.5
1,3.4,6,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,82.5,38.5,Lucknow Super Giants,56,17.5,-38.5
1,3.5,0,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,82.5,38.5,Lucknow Super Giants,56,17.5,-38.5
1,3.6,4,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,82.5,38.5,Lucknow Super Giants,56,17.5,-38.5
1,4.1,1,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,44,82.5,38.5,Lucknow Super Giants,56,17.5,-38.5
