inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,0.2,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,0.3,1,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,0.4,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,0.5,2,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,0.6,4,Gujarat Titans,Mumbai Indians,Gujarat Titans,47,44,-3,Mumbai Indians,53,56,3
1,1.1,1,Gujarat Titans,Mumbai Indians,Gujarat Titans,44,44,0,Mumbai Indians,56,56,0
1,1.2,4,Gujarat Titans,Mumbai Indians,Gujarat Titans,44,44,0,Mumbai Indians,56,56,0
1,1.3,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,44,44,0,Mumbai Indians,56,56,0
1,1.4,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,44,44,0,Mumbai Indians,56,56,0
1,1.5,2,Gujarat Titans,Mumbai Indians,Gujarat Titans,44,45,1,Mumbai Indians,56,55,-1
1,1.6,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,45,44,-1,Mumbai Indians,55,56,1
1,2.1,0,Gujarat Titans,Mumbai Indians,Gujarat Titans,45,48,3,Mumbai Indians,55,52,-3
1,2.2,4,Gujarat Titans,Mumbai Indians,Gujarat Titans,48,54,6,Mumbai Indians,52,46,-6
1,2.3,2,Gujarat Titans,Mumbai Indians,Gujarat Titans,54,44,-10,Mumbai Indians,46,56,10
1,2.4,4,Gujarat Titans,Mumbai Indians,Gujarat Titans,54,46,-8,Mumbai Indians,46,54,8
1,2.5,1,Gujarat Titans,Mumbai Indians,Gujarat Titans,46,51,5,Mumbai Indians,54,49,-5
