inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,0.2,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,0.3,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,64,14,Delhi Capitals,50,36,-14
1,0.4,2,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,64,55,-9,Delhi Capitals,36,45,9
1,0.5,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,50,-5,Delhi Capitals,45,50,5
1,0.6,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,50,-5,Delhi Capitals,45,50,5
1,1.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,50,-5,Delhi Capitals,45,50,5
1,1.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,50,-5,Delhi Capitals,45,50,5
1,1.3,wd,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,50,-5,Delhi Capitals,45,50,5
1,1.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,55,58.6,3.6,Delhi Capitals,45,41.4,-3.6
1,1.5,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,50,-8.6,Delhi Capitals,41.4,50,8.6
1,1.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,50,-8.6,Delhi Capitals,41.4,50,8.6
1,1.7,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,50,-8.6,Delhi Capitals,41.4,50,8.6
1,2.1,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,50,-8.6,Delhi Capitals,41.4,50,8.6
1,2.2,5wd,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,50,-8.6,Delhi Capitals,41.4,50,8.6
1,2.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,58.6,59,0.4,Delhi Capitals,41.4,41,-0.4
1,2.4,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,59,50,-9,Delhi Capitals,41,50,9
1,2.5,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,59,50,-9,Delhi Capitals,41,50,9
1,2.6,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,59,50,-9,Delhi Capitals,41,50,9
1,2.7,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,59,41,-18,Delhi Capitals,41,59,18
1,3.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.4,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.6,wd,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,41,50,9,Delhi Capitals,59,50,-9
1,3.7,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.1,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.2,nb+1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.3,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.4,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.5,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,4.6,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,22,-28,Delhi Capitals,50,78,28
1,4.7,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,50,28,Delhi Capitals,78,50,-28
1,5.1,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,50,28,Delhi Capitals,78,50,-28
1,5.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,50,28,Delhi Capitals,78,50,-28
1,5.3,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,50,28,Delhi Capitals,78,50,-28
1,5.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,50,28,Delhi Capitals,78,50,-28
1,5.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,22,30,8,Delhi Capitals,78,70,-8
1,5.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,30,50,20,Delhi Capitals,70,50,-20
1,6.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,30,50,20,Delhi Capitals,70,50,-20
1,6.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,30,29.7,-0.3,Delhi Capitals,70,70.3,0.3
1,6.3,nb+1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,6.4,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,6.5,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,6.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,6.7,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,7.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,29.7,50,20.3,Delhi Capitals,70.3,50,-20.3
1,7.2,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,7.3,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,7.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,7.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,7.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,8.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,8.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,8.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,8.4,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,40,-10,Delhi Capitals,50,60,10
1,8.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,8.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,9.1,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,9.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,9.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,9.4,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,40,50,10,Delhi Capitals,60,50,-10
1,9.5,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,9.6,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.2,2,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.3,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.5,wd,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,50,0,Delhi Capitals,50,50,0
1,10.6,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50,45,-5,Delhi Capitals,50,55,5
1,10.7,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,11.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,26,-19,Delhi Capitals,55,74,19
1,11.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,11.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,11.4,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,11.5,2,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,11.6,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,12.1,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,12.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,26,45,19,Delhi Capitals,74,55,-19
1,12.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,12.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,12.5,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,12.6,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.1,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.2,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.3,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,13.6,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.1,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.2,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.3,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.5,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,14.6,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,15.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,15.2,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,37.3,-7.7,Delhi Capitals,55,62.7,7.7
1,15.3,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,37.3,45,7.7,Delhi Capitals,62.7,55,-7.7
1,15.4,6,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,37.3,16,-21.3,Delhi Capitals,62.7,84,21.3
1,15.5,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,15.6,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,16.1,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,16.2,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,16.3,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,16.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,16,45,29,Delhi Capitals,84,55,-29
1,16.5,4,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,16.6,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.1,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.2,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.3,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.4,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.5,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.6,wd,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,17.7,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
1,18.1,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,45,18,-27,Delhi Capitals,55,82,27
1,18.2,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,18,45,27,Delhi Capitals,82,55,-27
1,18.3,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,18,18,0,Delhi Capitals,82,82,0
1,18.4,0+W,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,18,18,0,Delhi Capitals,82,82,0
2,0.1,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
2,0.2,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
2,0.3,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,45,45,0,Delhi Capitals,55,55,0
2,0.4,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,45,13,-32,Delhi Capitals,55,87,32
2,0.5,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,13,45,32,Delhi Capitals,87,55,-32
2,0.6,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,13,45,32,Delhi Capitals,87,55,-32
2,1.1,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,13,45,32,Delhi Capitals,87,55,-32
2,1.2,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,13,14.5,1.5,Delhi Capitals,87,85.5,-1.5
2,1.3,6,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,13,10,-3,Delhi Capitals,87,90,3
2,1.4,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,1.5,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,10,0,Delhi Capitals,90,90,0
2,1.6,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.1,6,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.2,4,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.3,4lb,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.4,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.5,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,10,14.5,4.5,Delhi Capitals,90,85.5,-4.5
2,2.6,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.1,4,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.2,2,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.3,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.4,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.5,2,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
2,3.6,4,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,5,-9.5,Delhi Capitals,85.5,95,9.5
2,4.1,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,4.2,6,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,4.3,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,5,0,Delhi Capitals,95,95,0
2,4.4,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,4.5,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,4.6,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,5.1,wd,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,5.2,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,5.3,2,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5,14.5,9.5,Delhi Capitals,95,85.5,-9.5
2,5.4,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,14.5,14.5,0,Delhi Capitals,85.5,85.5,0
