inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,0.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,0.3,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,41,-9,Punjab Kings,50,59,9
1,0.4,0+W,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,41,50,9,Punjab Kings,59,50,-9
1,0.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,41,50,9,Punjab Kings,59,50,-9
1,0.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,41,50,9,Punjab Kings,59,50,-9
1,1.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,41,48,7,Punjab Kings,59,52,-7
1,1.2,2wd,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,1.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,1.4,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,1.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,1.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,1.7,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,50,2,Punjab Kings,52,50,-2
1,2.1,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,48,33,-15,Punjab Kings,52,67,15
1,2.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,2.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,2.4,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,2.5,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,2.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,3.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,50,17,Punjab Kings,67,50,-17
1,3.2,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,3.3,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,3.4,6,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,3.5,0+W,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,3.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,4.1,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,34,-16,Punjab Kings,50,66,16
1,4.2,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,34,50,16,Punjab Kings,66,50,-16
1,4.3,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,34,50,16,Punjab Kings,66,50,-16
1,4.4,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,34,50,16,Punjab Kings,66,50,-16
1,4.5,0+W,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,34,33,-1,Punjab Kings,66,67,1
1,4.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,33,17,-16,Punjab Kings,67,83,16
1,5.1,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,5.2,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,5.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,5.4,2,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,5.5,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,5.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,6.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,17,50,33,Punjab Kings,83,50,-33
1,6.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,6.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,6.4,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,25,-25,Punjab Kings,50,75,25
1,6.5,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,6.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,25,0,Punjab Kings,75,75,0
1,7.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,7.2,6,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,7.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,7.4,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,26,1,Punjab Kings,75,74,-1
1,7.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,7.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.3,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.4,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.5,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,26,50,24,Punjab Kings,74,50,-24
1,8.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,9.1,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,9.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,25,-25,Punjab Kings,50,75,25
1,9.3,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,9.4,6,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,9.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,9.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,10.1,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,10.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,10.3,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,25,50,25,Punjab Kings,75,50,-25
1,10.4,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,10.5,6,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,10.6,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.3,0+W,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.4,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.5,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,11.6,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,12.1,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,12.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,50,0,Punjab Kings,50,50,0
1,12.3,lb,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,50,19,-31,Punjab Kings,50,81,31
1,12.4,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,50,31,Punjab Kings,81,50,-31
1,12.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,50,31,Punjab Kings,81,50,-31
1,12.6,6,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,27,8,Punjab Kings,81,73,-8
1,13.1,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,27,8,Punjab Kings,81,73,-8
1,13.2,2,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,27,8,Punjab Kings,81,73,-8
1,13.3,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,27,8,Punjab Kings,81,73,-8
1,13.4,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,19,27,8,Punjab Kings,81,73,-8
1,13.5,1,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,27,27,0,Punjab Kings,73,73,0
1,13.6,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,27,27,0,Punjab Kings,73,73,0
1,14.1,4,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,27,27,0,Punjab Kings,73,73,0
1,14.2,0,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,27,27,0,Punjab Kings,73,73,0
