inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,wd,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.2,1,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.3,0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.4,4,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.5,3,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.6,0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
1,0.7,1,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,55,12.5,Punjab Kings,57.5,45,-12.5
1,1.1,1,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,1.2,1,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,1.3,0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,1.4,0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,1.5,0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,1.6,1,Rajasthan Royals,Punjab Kings,Rajasthan Royals,55,42.5,-12.5,Punjab Kings,45,57.5,12.5
1,2.1,2,Rajasthan Royals,Punjab Kings,Rajasthan Royals,42.5,42.5,0,Punjab Kings,57.5,57.5,0
