inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,54,50.5,-3.5,Gujarat Titans,46,49.5,3.5
1,0.2,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,54,50.5,-3.5,Gujarat Titans,46,49.5,3.5
1,0.3,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50.5,50.5,0,Gujarat Titans,49.5,49.5,0
1,0.4,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50.5,50.5,0,Gujarat Titans,49.5,49.5,0
1,0.5,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50.5,49,-1.5,Gujarat Titans,49.5,51,1.5
1,0.6,0+W,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,49,50.5,1.5,Gujarat Titans,51,49.5,-1.5
1,1.1,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,49,50.5,1.5,Gujarat Titans,51,49.5,-1.5
1,1.2,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,49,50.5,1.5,Gujarat Titans,51,49.5,-1.5
1,1.3,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,49,45,-4,Gujarat Titans,51,55,4
1,1.4,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,45,50.5,5.5,Gujarat Titans,55,49.5,-5.5
1,1.5,1,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,45,50.5,5.5,Gujarat Titans,55,49.5,-5.5
1,1.6,2,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,45,50.5,5.5,Gujarat Titans,55,49.5,-5.5
1,2.1,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,45,40,-5,Gujarat Titans,55,60,5
1,2.2,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,40,40,0,Gujarat Titans,60,60,0
1,2.3,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,40,40,0,Gujarat Titans,60,60,0
1,2.4,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,40,50.5,10.5,Gujarat Titans,60,49.5,-10.5
1,2.5,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,40,37,-3,Gujarat Titans,60,63,3
1,2.6,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,37,37,0,Gujarat Titans,63,63,0
1,3.1,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50,50.5,0.5,Gujarat Titans,50,49.5,-0.5
1,3.2,0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50,50.5,0.5,Gujarat Titans,50,49.5,-0.5
1,3.3,4,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,50,50.5,0.5,Gujarat Titans,50,49.5,-0.5
