inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,42,50,8,Kolkata Knight Riders,58,50,-8
1,0.2,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,42,50,8,Kolkata Knight Riders,58,50,-8
1,0.3,3,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,0.4,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,0.5,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,0.6,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.1,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.2,4,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.3,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.4,6,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.5,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,1.6,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.1,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.2,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.3,2,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.4,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.5,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,2.6,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,3.1,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,3.2,4,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,3.3,2,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,3.4,4,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
1,3.5,6,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,60,10,Kolkata Knight Riders,50,40,-10
1,3.6,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,60,0,Kolkata Knight Riders,40,40,0
1,4.1,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,4.2,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,4.3,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,4.4,0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,4.5,2b,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,60,0,Kolkata Knight Riders,40,40,0
1,4.6,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.1,6,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.2,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.3,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.4,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.5,6,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,60,50,-10,Kolkata Knight Riders,40,50,10
1,5.6,1,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,50,50,0,Kolkata Knight Riders,50,50,0
