inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,6,Punjab Kings,Chennai Super Kings,Punjab Kings,54,59,5,Chennai Super Kings,46,41,-5
1,0.2,0,Punjab Kings,Chennai Super Kings,Punjab Kings,54,59,5,Chennai Super Kings,46,41,-5
1,0.3,nb,Punjab Kings,Chennai Super Kings,Punjab Kings,54,59,5,Chennai Super Kings,46,41,-5
1,0.4,0,Punjab Kings,Chennai Super Kings,Punjab Kings,54,59,5,Chennai Super Kings,46,41,-5
1,0.5,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,0.6,6,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,0.7,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,52,-7,Chennai Super Kings,41,48,7
1,1.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,1.2,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,1.3,0,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,1.4,0,Punjab Kings,Chennai Super Kings,Punjab Kings,52,52,0,Chennai Super Kings,48,48,0
1,1.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,1.6,6,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,2.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,2.2,6,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,2.3,2,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,2.4,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,52,59,7,Chennai Super Kings,48,41,-7
1,2.5,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,2.6,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.2,4,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.3,4,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.4,4,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,3.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.2,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.4,4,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,4.6,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.1,4,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.2,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.4,6,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.6,wd,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,5.7,6,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.2,nb+1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.4,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.5,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.6,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,6.7,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.2,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.4,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,7.6,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.1,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.2,0,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.4,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.5,2,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,8.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,59,0,Chennai Super Kings,41,41,0
1,9.1,1,Punjab Kings,Chennai Super Kings,Punjab Kings,59,27,-32,Chennai Super Kings,41,73,32
1,9.2,1,Punjab Kings,Chennai Super Kings,Punjab Kings,27,59,32,Chennai Super Kings,73,41,-32
1,9.3,0,Punjab Kings,Chennai Super Kings,Punjab Kings,27,59,32,Chennai Super Kings,73,41,-32
1,9.4,2,Punjab Kings,Chennai Super Kings,Punjab Kings,27,59,32,Chennai Super Kings,73,41,-32
1,9.5,0,Punjab Kings,Chennai Super Kings,Punjab Kings,27,41,14,Chennai Super Kings,73,59,-14
1,9.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,41,41,0,Chennai Super Kings,59,59,0
1,10.1,6,Punjab Kings,Chennai Super Kings,Punjab Kings,41,59,18,Chennai Super Kings,59,41,-18
1,10.2,1,Punjab Kings,Chennai Super Kings,Punjab Kings,41,59,18,Chennai Super Kings,59,41,-18
1,10.3,4,Punjab Kings,Chennai Super Kings,Punjab Kings,41,59,18,Chennai Super Kings,59,41,-18
1,10.4,2,Punjab Kings,Chennai Super Kings,Punjab Kings,41,47,6,Chennai Super Kings,59,53,-6
1,10.5,0,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,10.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,11.1,6,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,11.2,6,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,11.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,11.4,0,Punjab Kings,Chennai Super Kings,Punjab Kings,47,59,12,Chennai Super Kings,53,41,-12
1,11.5,6,Punjab Kings,Chennai Super Kings,Punjab Kings,59,67,8,Chennai Super Kings,41,33,-8
1,11.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,12.1,1,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,12.2,6,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,12.3,6,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,12.4,6,Punjab Kings,Chennai Super Kings,Punjab Kings,67,67,0,Chennai Super Kings,33,33,0
1,12.5,4,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,12.6,0,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,13.1,lb,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,13.2,1,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,13.3,1,Punjab Kings,Chennai Super Kings,Punjab Kings,67,71.5,4.5,Chennai Super Kings,33,28.5,-4.5
1,13.4,0+W,Punjab Kings,Chennai Super Kings,Punjab Kings,67,57,-10,Chennai Super Kings,33,43,10
1,13.5,4,Punjab Kings,Chennai Super Kings,Punjab Kings,57,71.5,14.5,Chennai Super Kings,43,28.5,-14.5
1,13.6,0,Punjab Kings,Chennai Super Kings,Punjab Kings,57,76,19,Chennai Super Kings,43,24,-19
1,14.1,0,Punjab Kings,Chennai Super Kings,Punjab Kings,76,71.5,-4.5,Chennai Super Kings,24,28.5,4.5
1,14.2,0,Punjab Kings,Chennai Super Kings,Punjab Kings,76,71.5,-4.5,Chennai Super Kings,24,28.5,4.5
1,14.3,0,Punjab Kings,Chennai Super Kings,Punjab Kings,76,75,-1,Chennai Super Kings,24,25,1
1,14.4,4,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
1,14.5,1,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
1,14.6,1,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
1,15.1,1,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
1,15.2,1,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
1,15.3,0,Punjab Kings,Chennai Super Kings,Punjab Kings,75,71.5,-3.5,Chennai Super Kings,25,28.5,3.5
