inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,53,54,1,Rajasthan Royals,47,46,-1
1,0.2,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,53,54,1,Rajasthan Royals,47,46,-1
1,0.3,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,53,54,1,Rajasthan Royals,47,46,-1
1,0.4,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,0.5,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,0.6,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,0.7,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,1.1,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,1.2,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,55,1,Rajasthan Royals,46,45,-1
1,1.3,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,1.4,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,1.5,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,1.6,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,2.1,0+W,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,2.2,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,55,54,-1,Rajasthan Royals,45,46,1
1,2.3,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,2.4,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,2.5,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,2.6,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.1,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.2,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.3,6,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.4,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.5,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,3.6,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.1,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.2,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.3,6,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.4,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.5,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.6,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.7,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,4.8,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.1,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.2,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.3,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.4,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.5,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.6,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,5.7,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.1,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.2,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.3,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.4,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.5,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,6.6,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.1,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.2,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.3,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.4,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.5,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.6,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,7.7,4,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.1,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.2,2,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.3,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.4,wd,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.5,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.6,1,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
1,8.7,0,Gujarat Titans,Rajasthan Royals,Gujarat Titans,54,54,0,Rajasthan Royals,46,46,0
