inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.2,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.3,5wd,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.4,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.5,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.6,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,0.7,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.1,4,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.2,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.3,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.4,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.5,4,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,1.6,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.1,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.2,4,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.3,4,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.4,nb+4,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.5,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.6,lb,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,2.7,4lb,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.1,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.2,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.3,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.4,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.5,0+W,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.6,wd,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,3.7,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.1,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.2,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.3,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.4,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.5,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,4.6,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.1,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.2,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.3,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.4,0+W,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.5,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,5.6,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.1,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.2,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.3,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.4,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.5,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,6.6,0+W,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.1,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.2,2,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.3,6,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.4,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.5,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,7.6,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,8.1,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
1,8.2,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,50,50,0,Delhi Capitals,50,50,0
