inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,0.2,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,0.3,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,0.4,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,0.5,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,0.6,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.1,3,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.2,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.3,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.4,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.5,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,1.6,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.1,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.2,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.3,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.4,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.5,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,2.6,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.1,2,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.2,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.3,0,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.4,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.5,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,3.6,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,4.1,4,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,4.2,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,4.3,1,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
1,4.4,wd,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,50,50,0,Lucknow Super Giants,50,50,0
