inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.2,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.3,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.4,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.5,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.6,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.1,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.2,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.3,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.4,wd,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.5,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.6,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.7,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.1,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.2,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.3,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.4,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.5,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.6,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.1,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.2,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.3,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.4,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.5,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.6,wd,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.7,0+W,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.1,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.2,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.3,wd,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.4,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.5,0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.6,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.7,2,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.1,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.2,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.3,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.4,2,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.5,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.6,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,50,50,0,Sunrisers Hyderabad,50,50,0
