inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,lb,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.2,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.3,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.4,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.5,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.6,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.1,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.2,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.3,2,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.4,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.5,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.6,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.1,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.2,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.3,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.4,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.5,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.6,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.1,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.2,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.3,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.4,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.5,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.6,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.1,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.2,6,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.3,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.4,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.5,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.6,lb,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.1,2,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.2,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.3,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.4,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.5,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.6,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.1,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.2,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.3,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.4,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.5,0+W,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.6,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.1,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.2,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.3,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.4,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.5,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.6,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.1,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.2,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.3,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.4,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.5,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.6,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.1,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.2,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.3,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.4,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.5,4,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,9.6,1,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,10.1,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,50,50,0,Royal Challengers Bengaluru,50,50,0
