inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,0.2,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,0.3,4,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,0.4,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,0.5,2,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,56,6,Chennai Super Kings,50,44,-6
1,0.6,0+W,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,50,-2,Chennai Super Kings,48,50,2
1,1.1,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,50,-2,Chennai Super Kings,48,50,2
1,1.2,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,50,-2,Chennai Super Kings,48,50,2
1,1.3,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,50,-2,Chennai Super Kings,48,50,2
1,1.4,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,50,-2,Chennai Super Kings,48,50,2
1,1.5,1,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,52,45,-7,Chennai Super Kings,48,55,7
1,1.6,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,2.1,1,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,2.2,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,2.3,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,45,0,Chennai Super Kings,55,55,0
1,2.4,4,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,2.5,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,2.6,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,3.1,6,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,3.2,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,3.3,1,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,45,50,5,Chennai Super Kings,55,50,-5
1,3.4,4,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,3.5,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,3.6,0+W,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,4.1,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,4.2,4,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,4.3,6,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,4.4,1,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
1,4.5,0,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,50,50,0,Chennai Super Kings,50,50,0
