inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,0.2,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,0.3,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,0.4,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,0.5,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,0.6,2,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.1,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.2,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.3,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.4,4,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.5,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,1.6,4,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,2.1,4,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,55,5,Kolkata Knight Riders,50,45,-5
1,2.2,6,Punjab Kings,Kolkata Knight Riders,Punjab Kings,55,50,-5,Kolkata Knight Riders,45,50,5
1,2.3,4,Punjab Kings,Kolkata Knight Riders,Punjab Kings,55,50,-5,Kolkata Knight Riders,45,50,5
1,2.4,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,55,50,-5,Kolkata Knight Riders,45,50,5
1,2.5,4,Punjab Kings,Kolkata Knight Riders,Punjab Kings,55,50,-5,Kolkata Knight Riders,45,50,5
1,2.6,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,55,50,-5,Kolkata Knight Riders,45,50,5
1,3.1,6,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,3.2,0+W,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,50,0,Kolkata Knight Riders,50,50,0
1,3.3,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,50,51,1,Kolkata Knight Riders,50,49,-1
1,3.4,0+W,Punjab Kings,Kolkata Knight Riders,Punjab Kings,51,50,-1,Kolkata Knight Riders,49,50,1
1,3.5,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,51,45,-6,Kolkata Knight Riders,49,55,6
1,3.6,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,45,50,5,Kolkata Knight Riders,55,50,-5
1,4.1,1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,45,50,5,Kolkata Knight Riders,55,50,-5
1,4.2,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,45,50,5,Kolkata Knight Riders,55,50,-5
1,4.3,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,45,45,0,Kolkata Knight Riders,55,55,0
1,4.4,2,Punjab Kings,Kolkata Knight Riders,Punjab Kings,45,30,-15,Kolkata Knight Riders,55,70,15
1,4.5,0+W,Punjab Kings,Kolkata Knight Riders,Punjab Kings,30,30,0,Kolkata Knight Riders,70,70,0
1,4.6,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,30,50,20,Kolkata Knight Riders,70,50,-20
1,5.1,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,30,37,7,Kolkata Knight Riders,70,63,-7
1,5.2,0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,37,50,13,Kolkata Knight Riders,63,50,-13
1,5.3,6,Punjab Kings,Kolkata Knight Riders,Punjab Kings,37,40,3,Kolkata Knight Riders,63,60,-3
