inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,0.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,0.3,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,37,-14.5,Punjab Kings,48.5,63,14.5
1,0.4,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,0.5,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,0.6,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,1.1,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,1.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,1.3,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,37,51.5,14.5,Punjab Kings,63,48.5,-14.5
1,1.4,2,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,1.5,6,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,1.6,2,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,2.1,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,2.2,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,51.5,0,Punjab Kings,48.5,48.5,0
1,2.3,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,51.5,40,-11.5,Punjab Kings,48.5,60,11.5
1,2.4,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,36,30,-6,Punjab Kings,64,70,6
1,2.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,51.5,21.5,Punjab Kings,70,48.5,-21.5
1,2.6,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,39,9,Punjab Kings,70,61,-9
1,3.1,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,39,37,-2,Punjab Kings,61,63,2
1,3.2,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,51.5,21.5,Punjab Kings,70,48.5,-21.5
1,3.3,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,51.5,21.5,Punjab Kings,70,48.5,-21.5
1,3.4,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,51.5,21.5,Punjab Kings,70,48.5,-21.5
1,3.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,30,36,6,Punjab Kings,70,64,-6
1,3.6,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,36,21,-15,Punjab Kings,64,79,15
1,4.1,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,21,29,8,Punjab Kings,79,71,-8
1,4.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,29,51.5,22.5,Punjab Kings,71,48.5,-22.5
1,4.3,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,29,51.5,22.5,Punjab Kings,71,48.5,-22.5
1,4.4,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,29,21,-8,Punjab Kings,71,79,8
1,4.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,21,21,0,Punjab Kings,79,79,0
1,4.6,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,19,19,0,Punjab Kings,81,81,0
1,5.1,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,19,51.5,32.5,Punjab Kings,81,48.5,-32.5
1,5.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,19,18,-1,Punjab Kings,81,82,1
1,5.3,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,18,17,-1,Punjab Kings,82,83,1
1,5.4,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,17,16,-1,Punjab Kings,83,84,1
1,5.5,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,13,-1,Punjab Kings,86,87,1
1,5.6,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,12,-1,Punjab Kings,87,88,1
1,6.1,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,15,13,-2,Punjab Kings,85,87,2
1,6.2,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,12,-1,Punjab Kings,87,88,1
1,6.3,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,13,0,Punjab Kings,87,87,0
1,6.4,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,51.5,38.5,Punjab Kings,87,48.5,-38.5
1,6.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,51.5,38.5,Punjab Kings,87,48.5,-38.5
1,6.6,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,13,14,1,Punjab Kings,87,86,-1
1,7.1,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,51.5,37.5,Punjab Kings,86,48.5,-37.5
1,7.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,51.5,37.5,Punjab Kings,86,48.5,-37.5
1,7.3,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,51.5,37.5,Punjab Kings,86,48.5,-37.5
1,7.4,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,51.5,37.5,Punjab Kings,86,48.5,-37.5
1,7.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,51.5,37.5,Punjab Kings,86,48.5,-37.5
1,7.6,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,14,11,-3,Punjab Kings,86,89,3
1,8.1,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,8,11,3,Punjab Kings,92,89,-3
1,8.2,0+W,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,7,0,Punjab Kings,93,93,0
1,8.3,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,7,0,Punjab Kings,93,93,0
1,8.4,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,7,0,Punjab Kings,93,93,0
1,8.5,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,8.6,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,9.1,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,9.2,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,5,-2,Punjab Kings,93,95,2
1,9.3,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,9.4,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,7,0,Punjab Kings,93,93,0
1,9.5,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,9.6,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,10.1,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,10.2,0,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,10.3,4,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
1,10.4,2,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,7,0,Punjab Kings,93,93,0
1,10.5,1,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,7,9,2,Punjab Kings,93,91,-2
