inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,3,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,0.2,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,0.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,0.4,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,0.5,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,0.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.2,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.4,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,1.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,2.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,2.2,0+W,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,53,3,Rajasthan Royals,50,47,-3
1,2.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,50,-2,Rajasthan Royals,48,50,2
1,2.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,50,-2,Rajasthan Royals,48,50,2
1,2.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,50,-2,Rajasthan Royals,48,50,2
1,2.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,50,-2,Rajasthan Royals,48,50,2
1,3.1,wd,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,50,-2,Rajasthan Royals,48,50,2
1,3.2,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,52,43,-9,Rajasthan Royals,48,57,9
1,3.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,3.4,lb,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,3.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,3.6,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,3.7,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,4.1,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,4.2,3,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,4.3,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,4.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,4.5,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,49,-1,Rajasthan Royals,50,51,1
1,4.6,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.1,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.2,0+W,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.4,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.5,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,49,50,1,Rajasthan Royals,51,50,-1
1,5.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.3,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,6.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.3,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.4,0+W,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,7.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.1,wd,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.5,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,50,0,Rajasthan Royals,50,50,0
1,8.6,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,35,-15,Rajasthan Royals,50,65,15
1,8.7,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,9.1,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,9.2,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,9.3,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,9.4,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,9.5,6,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,50,35,-15,Rajasthan Royals,50,65,15
1,9.6,6,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,35,0,Rajasthan Royals,65,65,0
1,10.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,50,15,Rajasthan Royals,65,50,-15
1,10.2,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,35,34,-1,Rajasthan Royals,65,66,1
1,10.3,3,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,50,16,Rajasthan Royals,66,50,-16
1,10.4,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,50,16,Rajasthan Royals,66,50,-16
1,10.5,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,50,16,Rajasthan Royals,66,50,-16
1,10.6,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,48,14,Rajasthan Royals,66,52,-14
1,11.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,48,14,Rajasthan Royals,66,52,-14
1,11.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,34,53,19,Rajasthan Royals,66,47,-19
1,11.3,6,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,11.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,11.5,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,11.6,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,12.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,12.2,wd,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,53,48,-5,Rajasthan Royals,47,52,5
1,12.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,12.4,wd,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,12.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,12.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,12.7,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,12.8,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.3,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,13.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.1,2,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.2,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.3,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.5,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,14.6,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.2,lb,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.3,6,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.5,0+W,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,15.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.2,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.3,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,16.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.1,0,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.2,4,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.3,0+W,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.4,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,17.6,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,18.1,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,18.2,lb,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,18.3,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,18.4,wd,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
1,18.5,1,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,48,48,0,Rajasthan Royals,52,52,0
