inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,0.2,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,0.3,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,0.4,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,0.5,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,0.6,2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.1,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.2,2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.3,2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.4,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.5,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,1.6,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,2.1,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,2.2,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
1,2.3,2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,32.5,32.5,0,Mumbai Indians,67.5,67.5,0
