inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0+W,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45,50,5,Sunrisers Hyderabad,55,50,-5
1,0.2,nb,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.3,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.4,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.5,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.6,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,0.7,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.1,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.2,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.3,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.4,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.5,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.6,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,2.1,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,43.8,-6.2,Sunrisers Hyderabad,50,56.2,6.2
1,2.2,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,2.3,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,2.4,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,2.5,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,2.6,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,3.1,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,43.8,50,6.2,Sunrisers Hyderabad,56.2,50,-6.2
1,3.2,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.3,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.4,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,3.5,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,30,-20,Sunrisers Hyderabad,50,70,20
1,3.6,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,30,50,20,Sunrisers Hyderabad,70,50,-20
1,4.1,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,30,50,20,Sunrisers Hyderabad,70,50,-20
1,4.2,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,30,50,20,Sunrisers Hyderabad,70,50,-20
1,4.3,0+W,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,30,50,20,Sunrisers Hyderabad,70,50,-20
1,4.4,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,30,50,20,Sunrisers Hyderabad,70,50,-20
1,4.5,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,4.6,2,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.1,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.2,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.3,0+W,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.4,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.5,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,5.6,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.1,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.2,4,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.3,2,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.4,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.5,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,6.6,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,7.1,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
1,7.2,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,50,50,0,Sunrisers Hyderabad,50,50,0
