inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,59,50,-9,Lucknow Super Giants,41,50,9
1,0.2,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,59,50,-9,Lucknow Super Giants,41,50,9
1,0.3,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,59,50,-9,Lucknow Super Giants,41,50,9
1,0.4,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,59,50,-9,Lucknow Super Giants,41,50,9
1,0.5,wd,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,59,50,-9,Lucknow Super Giants,41,50,9
1,0.6,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,0.7,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.1,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.2,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.3,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.4,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.5,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,1.6,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.1,wd,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.2,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.3,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.4,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.5,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.6,0+W,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,2.7,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.1,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.2,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.3,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.4,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.5,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,3.6,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.1,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.2,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.3,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.4,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.5,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,4.6,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.1,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.2,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.3,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.4,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.5,6,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,5.6,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,6.1,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,6.2,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,6.3,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,67.2,17.2,Lucknow Super Giants,50,32.8,-17.2
1,6.4,0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,6.5,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,6.6,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,7.1,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,7.2,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,7.3,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,67.2,50,-17.2,Lucknow Super Giants,32.8,50,17.2
1,7.4,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,50,0,Lucknow Super Giants,50,50,0
1,7.5,4,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,50,62,12,Lucknow Super Giants,50,38,-12
1,7.6,1,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,62,50,-12,Lucknow Super Giants,38,50,12
