inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,0.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,0.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,0.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,0.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,0.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,44,50,6,Royal Challengers Bengaluru,56,50,-6
1,1.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.5,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.6,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.3,6,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.4,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,49,-1,Royal Challengers Bengaluru,50,51,1
1,2.5,6,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,50,1,Royal Challengers Bengaluru,51,50,-1
1,2.6,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,49,0,Royal Challengers Bengaluru,51,51,0
1,3.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,50,1,Royal Challengers Bengaluru,51,50,-1
1,3.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,50,1,Royal Challengers Bengaluru,51,50,-1
1,3.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,50,1,Royal Challengers Bengaluru,51,50,-1
1,3.4,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,50,1,Royal Challengers Bengaluru,51,50,-1
1,3.5,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,49,40,-9,Royal Challengers Bengaluru,51,60,9
1,3.6,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,40,0,Royal Challengers Bengaluru,60,60,0
1,4.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,50,10,Royal Challengers Bengaluru,60,50,-10
1,4.2,nb+4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,50,10,Royal Challengers Bengaluru,60,50,-10
1,4.3,wd,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,50,10,Royal Challengers Bengaluru,60,50,-10
1,4.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,50,10,Royal Challengers Bengaluru,60,50,-10
1,4.5,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,40,48,8,Royal Challengers Bengaluru,60,52,-8
1,4.6,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,4.7,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,4.8,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,5.1,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,5.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,5.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,48,50,2,Royal Challengers Bengaluru,52,50,-2
1,5.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.5,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.6,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.1,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.3,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,7.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.1,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.4,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,8.6,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,20,-30,Royal Challengers Bengaluru,50,80,30
1,9.1,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,9.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,9.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,9.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,9.5,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,9.6,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,50,30,Royal Challengers Bengaluru,80,50,-30
1,10.1,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,10.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,10.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,10.4,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,50,0,Royal Challengers Bengaluru,50,50,0
1,10.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,50,32.5,-17.5,Royal Challengers Bengaluru,50,67.5,17.5
1,10.6,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.4,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.5,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,11.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,12.1,6,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,12.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,45,12.5,Royal Challengers Bengaluru,67.5,55,-12.5
1,12.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,45,32.5,-12.5,Royal Challengers Bengaluru,55,67.5,12.5
1,12.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,45,32.5,-12.5,Royal Challengers Bengaluru,55,67.5,12.5
1,12.5,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,45,20,-25,Royal Challengers Bengaluru,55,80,25
1,12.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,32.5,12.5,Royal Challengers Bengaluru,80,67.5,-12.5
1,13.1,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,32.5,12.5,Royal Challengers Bengaluru,80,67.5,-12.5
1,13.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,32.5,12.5,Royal Challengers Bengaluru,80,67.5,-12.5
1,13.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,32.5,12.5,Royal Challengers Bengaluru,80,67.5,-12.5
1,13.4,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,20,32.5,12.5,Royal Challengers Bengaluru,80,67.5,-12.5
1,13.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,13.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.1,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.2,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.5,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,14.6,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.1,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.2,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.3,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.5,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,15.6,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,16.1,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,16.2,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,16.3,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,16.4,2,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,34,1.5,Royal Challengers Bengaluru,67.5,66,-1.5
1,16.5,0+W,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,34,32.5,-1.5,Royal Challengers Bengaluru,66,67.5,1.5
1,16.6,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,34,25.5,-8.5,Royal Challengers Bengaluru,66,74.5,8.5
1,17.1,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,25.5,32.5,7,Royal Challengers Bengaluru,74.5,67.5,-7
1,17.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,25.5,32.5,7,Royal Challengers Bengaluru,74.5,67.5,-7
1,17.3,6,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,25.5,32.5,7,Royal Challengers Bengaluru,74.5,67.5,-7
1,17.4,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,25.5,31,5.5,Royal Challengers Bengaluru,74.5,69,-5.5
1,17.5,wd,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,31,32.5,1.5,Royal Challengers Bengaluru,69,67.5,-1.5
1,17.6,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,31,32.5,1.5,Royal Challengers Bengaluru,69,67.5,-1.5
1,17.7,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,31,32.5,1.5,Royal Challengers Bengaluru,69,67.5,-1.5
1,18.1,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,31,32.5,1.5,Royal Challengers Bengaluru,69,67.5,-1.5
1,18.2,1,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,31,32.5,1.5,Royal Challengers Bengaluru,69,67.5,-1.5
1,18.3,4,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
1,18.4,6,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,32.5,32.5,0,Royal Challengers Bengaluru,67.5,67.5,0
