inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,0.2,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,0.3,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,0.4,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,0.5,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,0.6,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,1.1,6,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,1.2,wd,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,1.3,2,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,53,3,Delhi Capitals,50,47,-3
1,1.4,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,53,54,1,Delhi Capitals,47,46,-1
1,1.5,wd,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,1.6,6,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,1.7,1,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,1.8,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,2.1,1,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,2.2,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,54,50,-4,Delhi Capitals,46,50,4
1,2.3,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,2.4,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,2.5,6,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,2.6,0+W,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.1,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.2,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.3,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.4,4,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.5,wd,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.6,1,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,50,0,Delhi Capitals,50,50,0
1,3.7,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50,65,15,Delhi Capitals,50,35,-15
1,4.1,lb,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,65,50.1,-14.9,Delhi Capitals,35,49.9,14.9
1,4.2,1,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50.1,50,-0.1,Delhi Capitals,49.9,50,0.1
