inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,0.2,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,0.3,1,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,0.4,1,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,0.5,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,0.6,wd,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,0.7,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.1,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.2,4,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.3,1,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.4,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.5,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,1.6,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,2.1,wd,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40.5,0,Punjab Kings,59.5,59.5,0
1,2.2,1,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40.5,40,-0.5,Punjab Kings,59.5,60,0.5
1,2.3,wd,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40,40,0,Punjab Kings,60,60,0
1,2.4,4,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40,40.5,0.5,Punjab Kings,60,59.5,-0.5
1,2.5,0,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40,40.5,0.5,Punjab Kings,60,59.5,-0.5
1,2.6,6,Chennai Super Kings,Punjab Kings,Chennai Super Kings,40,39,-1,Punjab Kings,60,61,1
1,2.7,0+W,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,40.5,1.5,Punjab Kings,61,59.5,-1.5
1,2.8,wd,Chennai Super Kings,Punjab Kings,Chennai Super Kings,39,39,0,Punjab Kings,61,61,0
