inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,61,62,1,Rajasthan Royals,39,38,-1
1,0.2,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,61,62,1,Rajasthan Royals,39,38,-1
1,0.3,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,61,62,1,Rajasthan Royals,39,38,-1
1,0.4,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,61,62,1,Rajasthan Royals,39,38,-1
1,0.5,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,61,62,1,Rajasthan Royals,39,38,-1
1,0.6,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,1.1,wd,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,1.2,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,1.3,2,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,1.4,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,60.9,-1.1,Rajasthan Royals,38,39.1,1.1
1,1.5,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,60.9,55,-5.9,Rajasthan Royals,39.1,45,5.9
1,1.6,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,55,54,-1,Rajasthan Royals,45,46,1
1,1.7,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,54,-8,Rajasthan Royals,38,46,8
1,2.1,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,54,62,8,Rajasthan Royals,46,38,-8
1,2.2,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,54,56,2,Rajasthan Royals,46,44,-2
1,2.3,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,56,62,6,Rajasthan Royals,44,38,-6
1,2.4,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,56,62,6,Rajasthan Royals,44,38,-6
1,2.5,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,56,62,6,Rajasthan Royals,44,38,-6
1,2.6,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,56,62,6,Rajasthan Royals,44,38,-6
1,3.1,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,56,62,6,Rajasthan Royals,44,38,-6
1,3.2,6,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,52,-10,Rajasthan Royals,38,48,10
1,3.3,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,57,57,0,Rajasthan Royals,43,43,0
1,3.4,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,57,62,5,Rajasthan Royals,43,38,-5
1,3.5,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,57,54,-3,Rajasthan Royals,43,46,3
1,3.6,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,54,54,0,Rajasthan Royals,46,46,0
1,4.1,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,60,62,2,Rajasthan Royals,40,38,-2
1,4.2,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,60,62,2,Rajasthan Royals,40,38,-2
1,4.3,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,60,62,2,Rajasthan Royals,40,38,-2
1,4.4,2,Mumbai Indians,Rajasthan Royals,Mumbai Indians,60,54,-6,Rajasthan Royals,40,46,6
1,4.5,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,54,62,8,Rajasthan Royals,46,38,-8
1,4.6,6,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,59,-3,Rajasthan Royals,38,41,3
1,5.1,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,59,58,-1,Rajasthan Royals,41,42,1
1,5.2,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,58,68.8,10.8,Rajasthan Royals,42,31.2,-10.8
1,5.3,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,69.5,70,0.5,Rajasthan Royals,30.5,30,-0.5
1,5.4,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70,70,0,Rajasthan Royals,30,30,0
1,5.5,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70,70,0,Rajasthan Royals,30,30,0
1,5.6,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70,70,0,Rajasthan Royals,30,30,0
1,6.1,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70,62,-8,Rajasthan Royals,30,38,8
1,6.2,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70,70.6,0.6,Rajasthan Royals,30,29.4,-0.6
1,6.3,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70.6,62,-8.6,Rajasthan Royals,29.4,38,8.6
1,6.4,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70.6,62,-8.6,Rajasthan Royals,29.4,38,8.6
1,6.5,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70.6,62,-8.6,Rajasthan Royals,29.4,38,8.6
1,6.6,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70.6,62,-8.6,Rajasthan Royals,29.4,38,8.6
1,7.1,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,70.6,62,-8.6,Rajasthan Royals,29.4,38,8.6
1,7.2,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,7.3,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,7.4,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,7.5,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,7.6,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,72,10,Rajasthan Royals,38,28,-10
1,8.1,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,72,62,-10,Rajasthan Royals,28,38,10
1,8.2,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,72,62,-10,Rajasthan Royals,28,38,10
1,8.3,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,72,62,-10,Rajasthan Royals,28,38,10
1,8.4,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,72,62,-10,Rajasthan Royals,28,38,10
1,8.5,6,Mumbai Indians,Rajasthan Royals,Mumbai Indians,72,62,-10,Rajasthan Royals,28,38,10
1,8.6,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,9.1,wd,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,62,0,Rajasthan Royals,38,38,0
1,9.2,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,62,75.1,13,Rajasthan Royals,38,25,-13
1,9.3,2,Mumbai Indians,Rajasthan Royals,Mumbai Indians,75.1,62,-13,Rajasthan Royals,25,38,13
1,9.4,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,75.1,62,-13,Rajasthan Royals,25,38,13
1,9.5,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,75.1,67,-8,Rajasthan Royals,25,33,8.1
1,9.6,4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,67,62,-5,Rajasthan Royals,33,38,5
1,9.7,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,67,66,-1,Rajasthan Royals,33,34,1
