inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,53,72,19,Sunrisers Hyderabad,47,28,-19
1,0.2,2,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,53,72,19,Sunrisers Hyderabad,47,28,-19
1,0.3,6,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,53,72,19,Sunrisers Hyderabad,47,28,-19
1,0.4,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,53,59,6,Sunrisers Hyderabad,47,41,-6
1,0.5,0,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,59,72,13,Sunrisers Hyderabad,41,28,-13
1,0.6,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,59,59,0,Sunrisers Hyderabad,41,41,0
1,1.1,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,59,72,13,Sunrisers Hyderabad,41,28,-13
1,1.2,0,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,59,50,-9,Sunrisers Hyderabad,41,50,9
1,1.3,0,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.4,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,56,56,0,Sunrisers Hyderabad,44,44,0
1,1.5,2,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,56,56,0,Sunrisers Hyderabad,44,44,0
1,1.6,1,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,72,12,Sunrisers Hyderabad,40,28,-12
1,2.1,4,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,72,12,Sunrisers Hyderabad,40,28,-12
1,2.2,0,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,60,0,Sunrisers Hyderabad,40,40,0
1,2.3,4,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,60,0,Sunrisers Hyderabad,40,40,0
1,2.4,4,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,72,12,Sunrisers Hyderabad,40,28,-12
1,2.5,4,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,72,12,Sunrisers Hyderabad,40,28,-12
1,2.6,4,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,60,60,0,Sunrisers Hyderabad,40,40,0
