inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,50,-8,Chennai Super Kings,42,50,8
1,0.2,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,58,0,Chennai Super Kings,42,42,0
1,0.3,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,58,0,Chennai Super Kings,42,42,0
1,0.4,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,50,-8,Chennai Super Kings,42,50,8
1,0.5,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,50,-8,Chennai Super Kings,42,50,8
1,0.6,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,50,-8,Chennai Super Kings,42,50,8
1,1.1,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,50,-8,Chennai Super Kings,42,50,8
1,1.2,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,58,69,11,Chennai Super Kings,42,31,-11
1,1.3,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,69,60,-9,Chennai Super Kings,31,40,9
1,1.4,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,1.5,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,1.6,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,60,0,Chennai Super Kings,40,40,0
1,2.1,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,2.2,6,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,2.3,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,2.4,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,2.5,6,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,2.6,6,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,60,50,-10,Chennai Super Kings,40,50,10
1,3.1,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,77,27,Chennai Super Kings,50,23,-27
1,3.2,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,3.3,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,3.4,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,3.5,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,3.6,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,4.1,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,77,50,-27,Chennai Super Kings,23,50,27
1,4.2,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,50,0,Chennai Super Kings,50,50,0
1,4.3,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,50,0,Chennai Super Kings,50,50,0
1,4.4,6,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,50,0,Chennai Super Kings,50,50,0
1,4.5,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,50,0,Chennai Super Kings,50,50,0
1,4.6,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,50,72.5,22.5,Chennai Super Kings,50,27.5,-22.5
1,5.1,6,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,66,65,-1,Chennai Super Kings,34,35,1
1,5.2,4,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,65,76,11,Chennai Super Kings,35,24,-11
1,5.3,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,76,0,Chennai Super Kings,24,24,0
1,5.4,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,76,0,Chennai Super Kings,24,24,0
1,5.5,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,76,0,Chennai Super Kings,24,24,0
1,5.6,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,50,-26,Chennai Super Kings,24,50,26
1,6.1,0,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,76,0,Chennai Super Kings,24,24,0
1,6.2,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,50,-26,Chennai Super Kings,24,50,26
1,6.3,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,76,50,-26,Chennai Super Kings,24,50,26
