inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,0.2,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,0.3,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,0.4,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,0.5,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,0.6,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,1.1,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,1.2,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,1.3,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,54,-4,Rajasthan Royals,42,46,4
1,1.4,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,1.5,wd,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,1.6,6,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,1.7,0+W,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.1,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.2,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.3,wd,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.4,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.5,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.6,lb,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,2.7,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,54,-4,Rajasthan Royals,42,46,4
1,3.1,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,3.2,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,3.3,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,3.4,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,3.5,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,3.6,6,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,54,58,4,Rajasthan Royals,46,42,-4
1,4.1,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,58,0,Rajasthan Royals,42,42,0
1,4.2,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,62,4,Rajasthan Royals,42,38,-4
1,4.3,2,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,62,58,-4,Rajasthan Royals,38,42,4
1,4.4,6,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,62,58,-4,Rajasthan Royals,38,42,4
1,4.5,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,62,58,-4,Rajasthan Royals,38,42,4
1,4.6,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,62,63.8,1.8,Rajasthan Royals,38,36.2,-1.8
1,5.1,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,63.8,58,-5.8,Rajasthan Royals,36.2,42,5.8
1,5.2,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,63.8,58,-5.8,Rajasthan Royals,36.2,42,5.8
1,5.3,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,63.8,58,-5.8,Rajasthan Royals,36.2,42,5.8
1,5.4,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,63.8,58,-5.8,Rajasthan Royals,36.2,42,5.8
1,5.5,6,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,63.8,64,0.2,Rajasthan Royals,36.2,36,-0.2
1,5.6,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,64,58,-6,Rajasthan Royals,36,42,6
1,6.1,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,64,58,-6,Rajasthan Royals,36,42,6
1,6.2,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,64,57,-7,Rajasthan Royals,36,43,7
1,6.3,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,6.4,4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,6.5,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,6.6,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,7.1,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,7.2,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,7.3,0+W,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,58,57,-1,Rajasthan Royals,42,43,1
1,7.4,3,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,7.5,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,7.6,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
1,8.1,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,57,58,1,Rajasthan Royals,43,42,-1
