inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,53,52.5,-0.5,Lucknow Super Giants,47,47.5,0.5
1,0.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,53,52.5,-0.5,Lucknow Super Giants,47,47.5,0.5
1,0.3,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,53,52.5,-0.5,Lucknow Super Giants,47,47.5,0.5
1,0.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,53,52.5,-0.5,Lucknow Super Giants,47,47.5,0.5
1,0.5,0+W,Punjab Kings,Lucknow Super Giants,Punjab Kings,53,47,-6,Lucknow Super Giants,47,53,6
1,0.6,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,45,52.5,7.5,Lucknow Super Giants,55,47.5,-7.5
1,1.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,45,52.5,7.5,Lucknow Super Giants,55,47.5,-7.5
1,1.2,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,45,45.4,0.4,Lucknow Super Giants,55,54.6,-0.4
1,1.3,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,47,0,Lucknow Super Giants,53,53,0
1,1.4,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,1.5,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,1.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,2.1,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,2.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,2.3,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,47,52.5,5.5,Lucknow Super Giants,53,47.5,-5.5
1,2.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,55,2.5,Lucknow Super Giants,47.5,45,-2.5
1,2.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,2.6,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,3.1,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,3.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,3.3,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,55,0,Lucknow Super Giants,45,45,0
1,3.4,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,62,7,Lucknow Super Giants,45,38,-7
1,3.5,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,3.6,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,4.1,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,4.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,4.3,0+W,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,4.4,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,62,52.5,-9.5,Lucknow Super Giants,38,47.5,9.5
1,4.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,4.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,59,6.5,Lucknow Super Giants,47.5,41,-6.5
1,5.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,52.5,-6.5,Lucknow Super Giants,41,47.5,6.5
1,5.2,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,55,-4,Lucknow Super Giants,41,45,4
1,5.3,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,51,52.5,1.5,Lucknow Super Giants,49,47.5,-1.5
1,5.4,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,51,52.5,1.5,Lucknow Super Giants,49,47.5,-1.5
1,5.5,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,51,55,4,Lucknow Super Giants,49,45,-4
1,5.6,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,6.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,6.2,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,6.3,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,55,0,Lucknow Super Giants,45,45,0
1,6.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,54,-1,Lucknow Super Giants,45,46,1
1,6.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,54,54,0,Lucknow Super Giants,46,46,0
1,6.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,54,55,1,Lucknow Super Giants,46,45,-1
1,7.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,7.2,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,7.3,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,7.4,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,7.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,7.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,8.1,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,8.2,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,8.3,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,8.4,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,8.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,8.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,52.5,0,Lucknow Super Giants,47.5,47.5,0
1,9.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,52.5,55,2.5,Lucknow Super Giants,47.5,45,-2.5
1,9.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,9.3,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,9.4,wd,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,9.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,9.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,52.5,-2.5,Lucknow Super Giants,45,47.5,2.5
1,9.7,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,55,59,4,Lucknow Super Giants,45,41,-4
1,10.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,52.5,-6.5,Lucknow Super Giants,41,47.5,6.5
1,10.2,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,60,1,Lucknow Super Giants,41,40,-1
1,10.3,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,10.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,10.5,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,10.6,wd,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,60,0,Lucknow Super Giants,40,40,0
1,10.7,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,11.1,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,11.2,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,11.3,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,52.5,-7.5,Lucknow Super Giants,40,47.5,7.5
1,11.4,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,60,0,Lucknow Super Giants,40,40,0
1,11.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,58,-2,Lucknow Super Giants,40,42,2
1,11.6,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,12.1,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,12.2,0+W,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,58,0,Lucknow Super Giants,42,42,0
1,12.3,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,12.4,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,12.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,12.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,13.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,13.2,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,58,59,1,Lucknow Super Giants,42,41,-1
1,13.3,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,59,0,Lucknow Super Giants,41,41,0
1,13.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,59,0,Lucknow Super Giants,41,41,0
1,13.5,wd,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,60,1,Lucknow Super Giants,41,40,-1
1,13.6,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,13.7,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,63,3,Lucknow Super Giants,40,37,-3
1,14.1,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,63,59,-4,Lucknow Super Giants,37,41,4
1,14.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,63,59,-4,Lucknow Super Giants,37,41,4
1,14.3,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,63,60,-3,Lucknow Super Giants,37,40,3
1,14.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,14.5,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,60,0,Lucknow Super Giants,40,40,0
1,14.6,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.1,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.2,0+W,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.3,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.4,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.5,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,60,59,-1,Lucknow Super Giants,40,41,1
1,15.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,59,0,Lucknow Super Giants,41,41,0
1,16.1,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,59,0,Lucknow Super Giants,41,41,0
1,16.2,0,Punjab Kings,Lucknow Super Giants,Punjab Kings,59,64.4,5.4,Lucknow Super Giants,41,35.6,-5.4
1,16.3,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,64.4,59,-5.4,Lucknow Super Giants,35.6,41,5.4
1,16.4,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,64.4,65,0.6,Lucknow Super Giants,35.6,35,-0.6
1,16.5,2,Punjab Kings,Lucknow Super Giants,Punjab Kings,65,66,1,Lucknow Super Giants,35,34,-1
1,16.6,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,66,59,-7,Lucknow Super Giants,34,41,7
1,17.1,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,66,66,0,Lucknow Super Giants,34,34,0
1,17.2,wd,Punjab Kings,Lucknow Super Giants,Punjab Kings,66,70,4,Lucknow Super Giants,34,30,-4
1,17.3,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,66,70.8,4.8,Lucknow Super Giants,34,29.2,-4.8
1,17.4,1,Punjab Kings,Lucknow Super Giants,Punjab Kings,72,72,0,Lucknow Super Giants,28,28,0
1,17.5,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,74,59,-15,Lucknow Super Giants,26,41,15
1,17.6,4,Punjab Kings,Lucknow Super Giants,Punjab Kings,74,81,7,Lucknow Super Giants,26,19,-7
1,17.7,6,Punjab Kings,Lucknow Super Giants,Punjab Kings,81,82,1,Lucknow Super Giants,19,18,-1
1,18.1,wd,Punjab Kings,Lucknow Super Giants,Punjab Kings,78.5,59,-19.5,Lucknow Super Giants,21.5,41,19.5
