inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,2,Mumbai Indians,Gujarat Titans,Mumbai Indians,59,58.5,-0.5,Gujarat Titans,41,41.5,0.5
1,0.2,0+W,Mumbai Indians,Gujarat Titans,Mumbai Indians,59,48,-11,Gujarat Titans,41,52,11
1,0.3,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,58.5,10.5,Gujarat Titans,52,41.5,-10.5
1,0.4,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,48,0,Gujarat Titans,52,52,0
1,0.5,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,49,1,Gujarat Titans,52,51,-1
1,0.6,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,58.5,3.5,Gujarat Titans,45,41.5,-3.5
1,1.1,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,58.5,3.5,Gujarat Titans,45,41.5,-3.5
1,1.2,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,54,-1,Gujarat Titans,45,46,1
1,1.3,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,54,58.5,4.5,Gujarat Titans,46,41.5,-4.5
1,1.4,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,54,55,1,Gujarat Titans,46,45,-1
1,1.5,2,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,58.5,3.5,Gujarat Titans,45,41.5,-3.5
1,1.6,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,55,0,Gujarat Titans,45,45,0
1,2.1,6,Mumbai Indians,Gujarat Titans,Mumbai Indians,49,55,6,Gujarat Titans,51,45,-6
1,2.2,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,55,56,1,Gujarat Titans,45,44,-1
1,2.3,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,56,58.5,2.5,Gujarat Titans,44,41.5,-2.5
1,2.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,56,60,4,Gujarat Titans,44,40,-4
1,2.5,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,65.7,58.5,-7.2,Gujarat Titans,34.3,41.5,7.2
1,2.6,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,65.7,58.5,-7.2,Gujarat Titans,34.3,41.5,7.2
1,3.1,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,65.7,50,-15.7,Gujarat Titans,34.3,50,15.7
1,3.2,lb,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,50,0,Gujarat Titans,50,50,0
1,3.3,0+W,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,58.5,10.5,Gujarat Titans,52,41.5,-10.5
1,3.4,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,48,0,Gujarat Titans,52,52,0
1,3.5,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,58.5,10.5,Gujarat Titans,52,41.5,-10.5
1,3.6,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,48,43,-5,Gujarat Titans,52,57,5
1,4.1,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,58.5,8.5,Gujarat Titans,50,41.5,-8.5
1,4.2,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,49,-1,Gujarat Titans,50,51,1
1,4.3,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,49,50,1,Gujarat Titans,51,50,-1
1,4.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,50,0,Gujarat Titans,50,50,0
1,4.5,2,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,50,0,Gujarat Titans,50,50,0
1,4.6,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,51,1,Gujarat Titans,50,49,-1
1,5.1,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,53,2,Gujarat Titans,49,47,-2
1,5.2,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,47,-6,Gujarat Titans,47,53,6
1,5.3,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,49,58.5,9.5,Gujarat Titans,51,41.5,-9.5
1,5.4,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,49,61,12,Gujarat Titans,51,39,-12
1,5.5,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,61,51,-10,Gujarat Titans,39,49,10
1,5.6,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.5,7.5,Gujarat Titans,49,41.5,-7.5
1,6.1,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.5,7.5,Gujarat Titans,49,41.5,-7.5
1,6.2,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.5,7.5,Gujarat Titans,49,41.5,-7.5
1,6.3,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.5,7.5,Gujarat Titans,49,41.5,-7.5
1,6.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.1,7.1,Gujarat Titans,49,41.9,-7.1
1,6.5,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.1,58.5,0.4,Gujarat Titans,41.9,41.5,-0.4
1,6.6,6,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.1,58.5,0.4,Gujarat Titans,41.9,41.5,-0.4
1,7.1,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.1,58.5,0.4,Gujarat Titans,41.9,41.5,-0.4
1,7.2,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.1,53,-5.1,Gujarat Titans,41.9,47,5.1
1,7.3,2,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,7.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,7.5,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,7.6,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,8.1,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,8.2,4,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.5,58.5,0,Gujarat Titans,41.5,41.5,0
1,8.3,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.5,58.5,0,Gujarat Titans,41.5,41.5,0
1,8.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.5,53,-5.5,Gujarat Titans,41.5,47,5.5
1,8.5,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,8.6,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,9.1,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,9.2,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,9.3,2,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,9.4,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,53,58.5,5.5,Gujarat Titans,47,41.5,-5.5
1,9.5,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,58.5,61,2.5,Gujarat Titans,41.5,39,-2.5
1,9.6,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,61,58.5,-2.5,Gujarat Titans,39,41.5,2.5
1,10.1,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,61,51,-10,Gujarat Titans,39,49,10
1,10.2,6,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,58.5,7.5,Gujarat Titans,49,41.5,-7.5
1,10.3,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,56.5,5.5,Gujarat Titans,49,43.5,-5.5
1,10.4,0+W,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,56.5,5.5,Gujarat Titans,49,43.5,-5.5
1,10.5,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,56.5,5.5,Gujarat Titans,49,43.5,-5.5
1,10.6,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,56.5,5.5,Gujarat Titans,49,43.5,-5.5
1,11.1,4lb,Mumbai Indians,Gujarat Titans,Mumbai Indians,51,56.5,5.5,Gujarat Titans,49,43.5,-5.5
1,11.2,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,56.5,50,-6.5,Gujarat Titans,43.5,50,6.5
1,11.3,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,45,56.5,11.5,Gujarat Titans,55,43.5,-11.5
1,11.4,0+W,Mumbai Indians,Gujarat Titans,Mumbai Indians,45,43,-2,Gujarat Titans,55,57,2
1,11.5,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,43,50,7,Gujarat Titans,57,50,-7
1,11.6,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,50,0,Gujarat Titans,50,50,0
1,12.1,1,Mumbai Indians,Gujarat Titans,Mumbai Indians,50,35,-15,Gujarat Titans,50,65,15
1,12.2,0,Mumbai Indians,Gujarat Titans,Mumbai Indians,35,56.5,21.5,Gujarat Titans,65,43.5,-21.5
