inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,62.5,61.5,-1,Chennai Super Kings,37.5,38.5,1
1,0.2,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,62.5,58.7,-3.8,Chennai Super Kings,37.5,41.3,3.8
1,0.3,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,58.7,61.5,2.8,Chennai Super Kings,41.3,38.5,-2.8
1,0.4,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,58.7,63,4.3,Chennai Super Kings,41.3,37,-4.3
1,0.5,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,63,61.5,-1.5,Chennai Super Kings,37,38.5,1.5
1,0.6,1,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,63,58,-5,Chennai Super Kings,37,42,5
1,1.1,6,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,60,58,-2,Chennai Super Kings,40,42,2
1,1.2,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,60,61.5,1.5,Chennai Super Kings,40,38.5,-1.5
1,1.3,0+W,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,60,57.3,-2.7,Chennai Super Kings,40,42.7,2.7
1,1.4,4,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,59,59,0,Chennai Super Kings,41,41,0
1,1.5,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,55,54,-1,Chennai Super Kings,45,46,1
1,1.6,2,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,54,52,-2,Chennai Super Kings,46,48,2
1,2.1,wd,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,52,55,3,Chennai Super Kings,48,45,-3
1,2.2,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,55,55,0,Chennai Super Kings,45,45,0
1,2.3,lb,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,55,61.5,6.5,Chennai Super Kings,45,38.5,-6.5
1,2.4,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,55,56,1,Chennai Super Kings,45,44,-1
1,2.5,4,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,56,61.5,5.5,Chennai Super Kings,44,38.5,-5.5
1,2.6,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,56,61.5,5.5,Chennai Super Kings,44,38.5,-5.5
1,2.7,4,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,56,61.5,5.5,Chennai Super Kings,44,38.5,-5.5
