inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,0.2,0,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,0.3,1,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,0.4,4,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,0.5,1,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,0.6,1,Punjab Kings,Rajasthan Royals,Punjab Kings,56,50,-6,Rajasthan Royals,44,50,6
1,1.1,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.2,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.3,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.4,2,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.5,0+W,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.6,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.1,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.2,4lb,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.3,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.4,6,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.5,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.6,0+W,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.1,0+W,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.2,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.3,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.4,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.5,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.6,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.1,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.2,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.3,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.4,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.5,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.6,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.1,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.2,2,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.3,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.4,6,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.5,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.6,0,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.1,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.2,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.3,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.4,1,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.5,4,Punjab Kings,Rajasthan Royals,Punjab Kings,50,50,0,Rajasthan Royals,50,50,0
