inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.2,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.3,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.4,wd,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.5,4,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.6,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,52,50,-2,Gujarat Titans,48,50,2
1,0.7,4,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,1.1,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,1.2,wd,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,1.3,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,1.4,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,1.5,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,32,-18,Gujarat Titans,50,68,18
1,1.6,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,32,50,18,Gujarat Titans,68,50,-18
1,1.7,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,32,50,18,Gujarat Titans,68,50,-18
1,2.1,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,32,50,18,Gujarat Titans,68,50,-18
1,2.2,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,32,50,18,Gujarat Titans,68,50,-18
1,2.3,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,32,50,18,Gujarat Titans,68,50,-18
1,2.4,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,2.5,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,2.6,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.1,2,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.2,0+W,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.3,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.4,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.5,wd,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.6,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,3.7,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,22,-28,Gujarat Titans,50,78,28
1,4.1,4,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,4.2,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,4.3,4,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,4.4,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,4.5,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,4.6,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,22,50,28,Gujarat Titans,78,50,-28
1,5.1,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,5.2,6,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,5.3,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,5.4,4,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,5.5,6,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,5.6,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.1,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.2,2,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.3,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.4,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.5,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,6.6,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,7.1,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,7.2,lb,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,7.3,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,7.4,0,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
1,7.5,1,Delhi Capitals,Gujarat Titans,Delhi Capitals,50,50,0,Gujarat Titans,50,50,0
