inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,0.2,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,0.3,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,0.4,6,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,0.5,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,0.6,1,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,57,50,-7,Sunrisers Hyderabad,43,50,7
1,1.1,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.2,6,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.3,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,50,50,0,Sunrisers Hyderabad,50,50,0
1,1.4,1,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,50,59,9,Sunrisers Hyderabad,50,41,-9
1,1.5,1,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,59,59,0,Sunrisers Hyderabad,41,41,0
1,1.6,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,59,69.5,10.5,Sunrisers Hyderabad,41,30.5,-10.5
1,2.1,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,69.8,50,-19.8,Sunrisers Hyderabad,30.2,50,19.8
1,2.2,0,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,69.8,50,-19.8,Sunrisers Hyderabad,30.2,50,19.8
