inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,0.2,2,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,0.3,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,0.4,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,0.5,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,0.6,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.1,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.2,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.3,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.4,0+W,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.5,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,1.6,0+W,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.1,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.2,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.3,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.4,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.5,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,2.6,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.1,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.2,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.3,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.4,6,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.5,nb+lb,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.6,6,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,3.7,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.1,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.2,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.3,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.4,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.5,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,4.6,2,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.1,lb,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.2,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.3,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.4,4,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.5,0+W,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,5.6,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.1,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.2,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.3,0+W,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.4,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.5,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
1,6.6,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,50,50,0,Rajasthan Royals,50,50,0
