inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,37,50,13,Gujarat Titans,63,50,-13
1,0.2,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,37,50,13,Gujarat Titans,63,50,-13
1,0.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,37,50,13,Gujarat Titans,63,50,-13
1,0.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,37,44.6,7.6,Gujarat Titans,63,55.4,-7.6
1,0.5,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44,44.8,0.8,Gujarat Titans,56,55.2,-0.8
1,0.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44.8,50,5.2,Gujarat Titans,55.2,50,-5.2
1,0.7,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44.8,50,5.2,Gujarat Titans,55.2,50,-5.2
1,1.1,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44.8,50,5.2,Gujarat Titans,55.2,50,-5.2
1,1.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44.8,44,-0.8,Gujarat Titans,55.2,56,0.8
1,1.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44,50,6,Gujarat Titans,56,50,-6
1,1.4,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44,50,6,Gujarat Titans,56,50,-6
1,1.5,lb,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44,50,6,Gujarat Titans,56,50,-6
1,1.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,44,43,-1,Gujarat Titans,56,57,1
1,1.7,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,43,50,7,Gujarat Titans,57,50,-7
1,2.1,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,43,50,7,Gujarat Titans,57,50,-7
1,2.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,43,50,7,Gujarat Titans,57,50,-7
1,2.3,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,43,50,7,Gujarat Titans,57,50,-7
1,2.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,43,42,-1,Gujarat Titans,57,58,1
1,2.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,2.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,50,0,Gujarat Titans,50,50,0
1,3.1,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,50,0,Gujarat Titans,50,50,0
1,3.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,50,0,Gujarat Titans,50,50,0
1,3.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,40,-10,Gujarat Titans,50,60,10
1,3.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,40,39.9,-0.1,Gujarat Titans,60,60.1,0.1
1,3.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39.9,50,10.1,Gujarat Titans,60.1,50,-10.1
1,3.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39.9,42,2.1,Gujarat Titans,60.1,58,-2.1
1,4.1,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,42,0,Gujarat Titans,58,58,0
1,4.2,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,4.3,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,4.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,41,-1,Gujarat Titans,58,59,1
1,4.5,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,41,50,9,Gujarat Titans,59,50,-9
1,4.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,41,50,9,Gujarat Titans,59,50,-9
1,5.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,41,50,9,Gujarat Titans,59,50,-9
1,5.2,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,41,50,9,Gujarat Titans,59,50,-9
1,5.3,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,41,50,9,Gujarat Titans,59,50,-9
1,5.4,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,31,-19,Gujarat Titans,50,69,19
1,5.5,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,31,42,11,Gujarat Titans,69,58,-11
1,5.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,6.1,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,6.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,50,8,Gujarat Titans,58,50,-8
1,6.3,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,36,-6,Gujarat Titans,58,64,6
1,6.4,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,36,50,14,Gujarat Titans,64,50,-14
1,6.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,36,50,14,Gujarat Titans,64,50,-14
1,6.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,36,50,14,Gujarat Titans,64,50,-14
1,7.1,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,36,38,2,Gujarat Titans,64,62,-2
1,7.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,38,40,2,Gujarat Titans,62,60,-2
1,7.3,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,40,39,-1,Gujarat Titans,60,61,1
1,7.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,7.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,7.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,8.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,8.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,8.3,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,50,11,Gujarat Titans,61,50,-11
1,8.4,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,50,0,Gujarat Titans,50,50,0
1,8.5,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,39,-11,Gujarat Titans,50,61,11
1,8.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39,39,0,Gujarat Titans,61,61,0
1,9.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,50,5,Gujarat Titans,55,50,-5
1,9.2,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,50,5,Gujarat Titans,55,50,-5
1,9.3,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,45,0,Gujarat Titans,55,55,0
1,9.4,lb,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,50,5,Gujarat Titans,55,50,-5
1,9.5,0+W,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,50,5,Gujarat Titans,55,50,-5
1,9.6,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,41,-4,Gujarat Titans,55,59,4
1,10.1,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,40,42,2,Gujarat Titans,60,58,-2
1,10.2,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,39.5,-2.5,Gujarat Titans,58,60.5,2.5
1,10.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,42,45,3,Gujarat Titans,58,55,-3
1,10.4,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,45,0,Gujarat Titans,55,55,0
1,10.5,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,45,46,1,Gujarat Titans,55,54,-1
1,10.6,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,46,39.5,-6.5,Gujarat Titans,54,60.5,6.5
1,10.7,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,46,39.5,-6.5,Gujarat Titans,54,60.5,6.5
1,11.1,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,46,50,4,Gujarat Titans,54,50,-4
1,11.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,50,54,4,Gujarat Titans,50,46,-4
1,11.3,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,54,39.5,-14.5,Gujarat Titans,46,60.5,14.5
1,11.4,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,54,39.5,-14.5,Gujarat Titans,46,60.5,14.5
1,11.5,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,54,66,12,Gujarat Titans,46,34,-12
1,11.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,66,66,0,Gujarat Titans,34,34,0
1,12.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,66,67,1,Gujarat Titans,34,33,-1
1,12.2,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,67,61,-6,Gujarat Titans,33,39,6
1,12.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,61,67,6,Gujarat Titans,39,33,-6
1,12.4,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,68,69,1,Gujarat Titans,32,31,-1
1,12.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,65,-4,Gujarat Titans,31,35,4
1,12.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,65,70,5,Gujarat Titans,35,30,-5
1,13.1,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,70,66,-4,Gujarat Titans,30,34,4
1,13.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,66,65,-1,Gujarat Titans,34,35,1
1,13.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,65,63.7,-1.3,Gujarat Titans,35,36.3,1.3
1,13.4,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,63.7,62,-1.7,Gujarat Titans,36.3,38,1.7
1,13.5,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,62,68.4,6.4,Gujarat Titans,38,31.6,-6.4
1,13.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,68.4,39.5,-28.9,Gujarat Titans,31.6,60.5,28.9
1,13.7,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,68.4,73,4.6,Gujarat Titans,31.6,27,-4.6
1,14.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,73,39.5,-33.5,Gujarat Titans,27,60.5,33.5
1,14.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,73,61,-12,Gujarat Titans,27,39,12
1,14.3,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,39.5,-29.5,Gujarat Titans,31,60.5,29.5
1,14.4,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,39.5,-29.5,Gujarat Titans,31,60.5,29.5
1,14.5,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,39.5,-29.5,Gujarat Titans,31,60.5,29.5
1,14.6,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,39.5,-29.5,Gujarat Titans,31,60.5,29.5
1,15.1,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,69,39.5,-29.5,Gujarat Titans,31,60.5,29.5
1,15.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,39.5,71,31.5,Gujarat Titans,60.5,29,-31.5
1,15.3,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,39.5,-31.5,Gujarat Titans,29,60.5,31.5
1,15.4,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,71,0,Gujarat Titans,29,29,0
1,15.5,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,39.5,-31.5,Gujarat Titans,29,60.5,31.5
1,15.6,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,39.5,-31.5,Gujarat Titans,29,60.5,31.5
1,15.7,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,39.5,-31.5,Gujarat Titans,29,60.5,31.5
1,16.1,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,71,77.8,6.8,Gujarat Titans,29,22.2,-6.8
1,16.2,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,77.8,78,0.2,Gujarat Titans,22.2,22,-0.2
1,16.3,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78,78,0,Gujarat Titans,22,22,0
1,16.4,4,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78.7,39.5,-39.2,Gujarat Titans,21.3,60.5,39.2
1,16.5,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78.7,39.5,-39.2,Gujarat Titans,21.3,60.5,39.2
1,16.6,nb+1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78.7,39.5,-39.2,Gujarat Titans,21.3,60.5,39.2
1,16.7,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78.7,74,-4.7,Gujarat Titans,21.3,26,4.7
1,17.1,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,74,39.5,-34.5,Gujarat Titans,26,60.5,34.5
1,17.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,74,39.5,-34.5,Gujarat Titans,26,60.5,34.5
1,17.3,wd,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,74,72,-2,Gujarat Titans,26,28,2
1,17.4,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,72,77.1,5.1,Gujarat Titans,28,22.9,-5.1
1,17.5,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,77.1,79,1.9,Gujarat Titans,22.9,21,-1.9
1,17.6,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,79,39.5,-39.5,Gujarat Titans,21,60.5,39.5
1,17.7,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,79,80,1,Gujarat Titans,21,20,-1
1,18.1,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,80,78,-2,Gujarat Titans,20,22,2
1,18.2,0+W,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,77.5,78,0.5,Gujarat Titans,22.5,22,-0.5
1,18.3,2,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,79,4,Gujarat Titans,25,21,-4
1,18.4,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,39.5,-35.5,Gujarat Titans,25,60.5,35.5
1,18.5,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,39.5,-35.5,Gujarat Titans,25,60.5,35.5
1,18.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,75,0,Gujarat Titans,25,25,0
1,19.1,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,39.5,-35.5,Gujarat Titans,25,60.5,35.5
1,19.2,1,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,39.5,-35.5,Gujarat Titans,25,60.5,35.5
1,19.3,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,75,78,3,Gujarat Titans,25,22,-3
1,19.4,b,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78,76.5,-1.5,Gujarat Titans,22,23.5,1.5
1,19.5,6,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,78,77,-1,Gujarat Titans,22,23,1
1,19.6,0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,76,75,-1,Gujarat Titans,24,25,1
2,0.1,4,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,74,75,1,Gujarat Titans,26,25,-1
2,0.2,1,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,75,76.5,1.5,Gujarat Titans,25,23.5,-1.5
