inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.2,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.3,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.4,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.5,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.6,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.1,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.2,2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.3,lb,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.4,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.5,6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.6,lb,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.1,2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.2,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.3,nb,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.4,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.5,6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.6,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.7,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.1,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.2,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.3,6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.4,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,50,60,10,Royal Challengers Bengaluru,50,40,-10
1,3.5,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,60,50,-10,Royal Challengers Bengaluru,40,50,10
1,3.6,0+W,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,60,50,-10,Royal Challengers Bengaluru,40,50,10
