inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Punjab Kings,Delhi Capitals,Punjab Kings,59,59.5,0.5,Delhi Capitals,41,40.5,-0.5
1,0.2,0,Punjab Kings,Delhi Capitals,Punjab Kings,59,59.5,0.5,Delhi Capitals,41,40.5,-0.5
1,0.3,0,Punjab Kings,Delhi Capitals,Punjab Kings,59,53,-6,Delhi Capitals,41,47,6
1,0.4,wd,Punjab Kings,Delhi Capitals,Punjab Kings,53,59.5,6.5,Delhi Capitals,47,40.5,-6.5
1,0.5,0,Punjab Kings,Delhi Capitals,Punjab Kings,53,59.5,6.5,Delhi Capitals,47,40.5,-6.5
1,0.6,4,Punjab Kings,Delhi Capitals,Punjab Kings,53,59,6,Delhi Capitals,47,41,-6
1,0.7,0,Punjab Kings,Delhi Capitals,Punjab Kings,59,59.5,0.5,Delhi Capitals,41,40.5,-0.5
1,1.1,0,Punjab Kings,Delhi Capitals,Punjab Kings,59,59.5,0.5,Delhi Capitals,41,40.5,-0.5
1,1.2,1,Punjab Kings,Delhi Capitals,Punjab Kings,59,59.5,0.5,Delhi Capitals,41,40.5,-0.5
1,1.3,2,Punjab Kings,Delhi Capitals,Punjab Kings,59,56,-3,Delhi Capitals,41,44,3
1,1.4,0,Punjab Kings,Delhi Capitals,Punjab Kings,55,39,-16,Delhi Capitals,45,61,16
1,1.5,0+W,Punjab Kings,Delhi Capitals,Punjab Kings,39,59.5,20.5,Delhi Capitals,61,40.5,-20.5
1,1.6,2,Punjab Kings,Delhi Capitals,Punjab Kings,39,59.5,20.5,Delhi Capitals,61,40.5,-20.5
1,2.1,0,Punjab Kings,Delhi Capitals,Punjab Kings,39,59.5,20.5,Delhi Capitals,61,40.5,-20.5
1,2.2,1,Punjab Kings,Delhi Capitals,Punjab Kings,39,50,11,Delhi Capitals,61,50,-11
1,2.3,4,Punjab Kings,Delhi Capitals,Punjab Kings,50,50,0,Delhi Capitals,50,50,0
1,2.4,0,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,2.5,2,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,2.6,4,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,3.1,4,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,3.2,0,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,3.3,1,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,3.4,6,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,3.5,2,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,3.6,1,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.1,0,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.2,1,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.3,0,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.4,4,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.5,0,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,4.6,4,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,5.1,6,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,5.2,4,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,60,0.5,Delhi Capitals,40.5,40,-0.5
1,5.3,wd+W,Punjab Kings,Delhi Capitals,Punjab Kings,60,47,-13,Delhi Capitals,40,53,13
1,5.4,0,Punjab Kings,Delhi Capitals,Punjab Kings,47,59.5,12.5,Delhi Capitals,53,40.5,-12.5
1,5.5,0,Punjab Kings,Delhi Capitals,Punjab Kings,47,59.5,12.5,Delhi Capitals,53,40.5,-12.5
1,5.6,4,Punjab Kings,Delhi Capitals,Punjab Kings,47,59.5,12.5,Delhi Capitals,53,40.5,-12.5
1,5.7,1,Punjab Kings,Delhi Capitals,Punjab Kings,47,59.5,12.5,Delhi Capitals,53,40.5,-12.5
1,6.1,nb+1,Punjab Kings,Delhi Capitals,Punjab Kings,47,60,13,Delhi Capitals,53,40,-13
1,6.2,6,Punjab Kings,Delhi Capitals,Punjab Kings,60,59.5,-0.5,Delhi Capitals,40,40.5,0.5
1,6.3,1,Punjab Kings,Delhi Capitals,Punjab Kings,60,59.5,-0.5,Delhi Capitals,40,40.5,0.5
1,6.4,0,Punjab Kings,Delhi Capitals,Punjab Kings,60,59.5,-0.5,Delhi Capitals,40,40.5,0.5
1,6.5,0,Punjab Kings,Delhi Capitals,Punjab Kings,60,59.5,-0.5,Delhi Capitals,40,40.5,0.5
1,6.6,1,Punjab Kings,Delhi Capitals,Punjab Kings,60,59.5,-0.5,Delhi Capitals,40,40.5,0.5
1,6.7,1,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,59.5,0,Delhi Capitals,40.5,40.5,0
1,7.1,1,Punjab Kings,Delhi Capitals,Punjab Kings,59.5,50,-9.5,Delhi Capitals,40.5,50,9.5
1,7.2,1,Punjab Kings,Delhi Capitals,Punjab Kings,50,50,0,Delhi Capitals,50,50,0
1,7.3,0,Punjab Kings,Delhi Capitals,Punjab Kings,50,59.5,9.5,Delhi Capitals,50,40.5,-9.5
1,7.4,4,Punjab Kings,Delhi Capitals,Punjab Kings,50,58,8,Delhi Capitals,50,42,-8
