inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,36,50,14,Gujarat Titans,64,50,-14
1,0.2,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,36,50,14,Gujarat Titans,64,50,-14
1,0.3,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,50,0,Gujarat Titans,50,50,0
1,0.4,wd,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,50,0,Gujarat Titans,50,50,0
1,0.5,4,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,50,0,Gujarat Titans,50,50,0
1,0.6,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,50,0,Gujarat Titans,50,50,0
1,0.7,1,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,50,0,Gujarat Titans,50,50,0
1,1.1,2,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,50,36,-14,Gujarat Titans,50,64,14
1,1.2,6,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,36,36,0,Gujarat Titans,64,64,0
1,1.3,6,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,36,50,14,Gujarat Titans,64,50,-14
1,1.4,4,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,36,42.8,6.8,Gujarat Titans,64,57.2,-6.8
1,1.5,4,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,42.8,50,7.2,Gujarat Titans,57.2,50,-7.2
1,1.6,6,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,42.8,41.7,-1.1,Gujarat Titans,57.2,58.3,1.1
1,2.1,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
1,2.2,4,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
1,2.3,1,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
1,2.4,1,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
1,2.5,4,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
1,2.6,0,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,41.7,50,8.3,Gujarat Titans,58.3,50,-8.3
