inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,0,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,0.2,2,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,0.3,0,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,0.4,4,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,0.5,2,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,0.6,0,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,1.1,1,Mumbai Indians,Punjab Kings,Mumbai Indians,57,59.5,2.5,Punjab Kings,43,40.5,-2.5
1,1.2,0,Mumbai Indians,Punjab Kings,Mumbai Indians,59.5,59.5,0,Punjab Kings,40.5,40.5,0
1,1.3,4,Mumbai Indians,Punjab Kings,Mumbai Indians,59.5,59.5,0,Punjab Kings,40.5,40.5,0
1,1.4,0,Mumbai Indians,Punjab Kings,Mumbai Indians,59.5,59.5,0,Punjab Kings,40.5,40.5,0
1,1.5,4,Mumbai Indians,Punjab Kings,Mumbai Indians,59.5,56,-3.5,Punjab Kings,40.5,44,3.5
1,1.6,0,Mumbai Indians,Punjab Kings,Mumbai Indians,56,59.5,3.5,Punjab Kings,44,40.5,-3.5
1,2.1,0,Mumbai Indians,Punjab Kings,Mumbai Indians,56,62.8,6.8,Punjab Kings,44,37.2,-6.8
1,2.2,0,Mumbai Indians,Punjab Kings,Mumbai Indians,62.8,59.5,-3.3,Punjab Kings,37.2,40.5,3.3
1,2.3,0,Mumbai Indians,Punjab Kings,Mumbai Indians,62.8,67,4.2,Punjab Kings,37.2,33,-4.2
1,2.4,0,Mumbai Indians,Punjab Kings,Mumbai Indians,67,60,-7,Punjab Kings,33,40,7
1,2.5,wd,Mumbai Indians,Punjab Kings,Mumbai Indians,60,60,0,Punjab Kings,40,40,0
1,2.6,wd,Mumbai Indians,Punjab Kings,Mumbai Indians,64,59.5,-4.5,Punjab Kings,36,40.5,4.5
1,2.7,0,Mumbai Indians,Punjab Kings,Mumbai Indians,64,59.5,-4.5,Punjab Kings,36,40.5,4.5
1,2.8,4,Mumbai Indians,Punjab Kings,Mumbai Indians,64,59.5,-4.5,Punjab Kings,36,40.5,4.5
1,3.1,0,Mumbai Indians,Punjab Kings,Mumbai Indians,64,70.1,6.1,Punjab Kings,36,29.9,-6.1
1,3.2,4,Mumbai Indians,Punjab Kings,Mumbai Indians,70.1,59.5,-10.6,Punjab Kings,29.9,40.5,10.6
1,3.3,0,Mumbai Indians,Punjab Kings,Mumbai Indians,70.1,59.5,-10.6,Punjab Kings,29.9,40.5,10.6
1,3.4,4,Mumbai Indians,Punjab Kings,Mumbai Indians,70.1,63,-7.1,Punjab Kings,29.9,37,7.1
1,3.5,1,Mumbai Indians,Punjab Kings,Mumbai Indians,63,59.5,-3.5,Punjab Kings,37,40.5,3.5
1,3.6,0,Mumbai Indians,Punjab Kings,Mumbai Indians,63,67,4,Punjab Kings,37,33,-4
1,4.1,0,Mumbai Indians,Punjab Kings,Mumbai Indians,67,67,0,Punjab Kings,33,33,0
