inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.2,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.3,4,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.4,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.5,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,0.6,4,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.1,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.2,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.3,6,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.4,2,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.5,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,1.6,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.1,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.2,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.3,4lb,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.4,0+W,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.5,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,2.6,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.1,2,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.2,6,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.3,2,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.4,4,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.5,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,3.6,4,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.1,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.2,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.3,lb,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.4,2,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.5,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,4.6,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.1,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.2,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.3,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.4,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.5,nb,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.6,4,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,5.7,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.1,1,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
1,6.2,0,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,50,50,0,Royal Challengers Bengaluru,50,50,0
