inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,2,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,49.1,52,2.9,Royal Challengers Bengaluru,50.9,48,-2.9
1,0.2,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,52,26,-26,Royal Challengers Bengaluru,48,74,26
1,0.3,4,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,52,51,-1,Royal Challengers Bengaluru,48,49,1
1,0.4,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,50,26,-24,Royal Challengers Bengaluru,50,74,24
1,0.5,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,50,26,-24,Royal Challengers Bengaluru,50,74,24
1,0.6,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,50,52,2,Royal Challengers Bengaluru,50,48,-2
1,1.1,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,50,51,1,Royal Challengers Bengaluru,50,49,-1
1,1.2,0+W,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,51,47,-4,Royal Challengers Bengaluru,49,53,4
1,1.3,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,46,41,-5,Royal Challengers Bengaluru,54,59,5
1,1.4,2,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,41,26,-15,Royal Challengers Bengaluru,59,74,15
1,1.5,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,41,41.1,0.1,Royal Challengers Bengaluru,59,58.9,-0.1
1,1.6,6,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,41,41,0,Royal Challengers Bengaluru,59,59,0
1,2.1,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,41,26,-15,Royal Challengers Bengaluru,59,74,15
1,2.2,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,41,45,4,Royal Challengers Bengaluru,59,55,-4
1,2.3,4,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,45,26,-19,Royal Challengers Bengaluru,55,74,19
1,2.4,4,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,45,40,-5,Royal Challengers Bengaluru,55,60,5
1,2.5,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,40,35,-5,Royal Challengers Bengaluru,60,65,5
1,2.6,0+W,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,33,35,2,Royal Challengers Bengaluru,67,65,-2
1,3.1,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,35,35,0,Royal Challengers Bengaluru,65,65,0
1,3.2,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,35,33,-2,Royal Challengers Bengaluru,65,67,2
1,3.3,2,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,28,27,-1,Royal Challengers Bengaluru,72,73,1
1,3.4,0+W,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,27,26,-1,Royal Challengers Bengaluru,73,74,1
1,3.5,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,27,27,0,Royal Challengers Bengaluru,73,73,0
1,3.6,1,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,27,32,5,Royal Challengers Bengaluru,73,68,-5
1,4.1,nb,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,33,24,-9,Royal Challengers Bengaluru,67,76,9
1,4.2,4,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,22.6,26,3.4,Royal Challengers Bengaluru,77.4,74,-3.4
1,4.3,0,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,29,26,-3,Royal Challengers Bengaluru,71,74,3
